genes	protein	compartment	reactions	uniprot
PDE9A	protein_PDE9A	c	PDEG	O76083
PDIA3	protein_PDIA3	c	INSULINGTHOR	P30101
PDIA4	protein_PDIA4	c	INSULINGTHOR	P13667
PDIA6	protein_PDIA6	c	INSULINGTHOR	Q15084
PDXK	protein_PDXK	c	PYDAMK;PYDXK;PYDXNK	O00764
PDXP	protein_PDXP	c	PDXPP;PYDAMPP;PYDXPP	Q96GD0
PEMT	protein_PEMT	c	PENMT1;PENMT2;PENMT3	Q9UBM1
PEPD	protein_PEPD	c	APDPP;FPDPP;GPDPP;LPDPP;MPDPP;PPDPP;VPDPP	P12955
PFAS	protein_PFAS	c	PRFGS	O15067
PFKL	protein_PFKL	c	PFK	P17858
PFKM	protein_PFKM	c	PFK	P08237
PFKP	protein_PFKP	c	PFK	Q01813
PGAM1	protein_PGAM1	c	DPGM;PGM	P18669
PGD	protein_PGD	c	GND	P52209
PGK1	protein_PGK1	c	4PERK;PGK	P00558
PGK2	protein_PGK2	c	4PERK;PGK	P07205
PGLS	protein_PGLS	c	PGL	O95336
PGM1	protein_PGM1	c	PGMTa	P36871
PGM2	protein_PGM2	c	PGMT;PGMTa;PMANM;PPM;PPM2	Q96G03
PGM2L1	protein_PGM2L1	c	G16BPS1;G16BPS2;M16BPS1;R15BPS1	Q6PCE3
PGM3	protein_PGM3	c	ACGAMPM	O95394
PGP	protein_PGP	c	2LACP_L;4PERP;G3PP;PGLYCP;PROTYPP	A6NDG6
PHGDH	protein_PHGDH	c	L2HGDHx;MDH;PGCD	O43175
PHOSPHO1	protein_PHOSPHO1	c	CHLP;ETHP	Q8TCT1
PHOSPHO1	protein_PHOSPHO1	e	CHLPe;ETHPe	Q8TCT1
PHPT1	protein_PHPT1	c	PHPT1;PHPT2	Q9NRX4
PI4K2A	protein_PI4K2A	c	PI4K	Q9BTU6
PI4KA	protein_PI4KA	c	PI4K	P42356
PIEZO1	protein_PIEZO1	pm	CA2t;CD2t;Kt1;MG2tec;MN2t;NAt	Q92508
PIK3C3	protein_PIK3C3	c	PI3K	Q8NEB9
PIK3R4	protein_PIK3R4	c	PI3K	Q99570
PIP4K2A	protein_PIP4K2A	c	PI5P4KA;PI5P4KG	P48426
PIP4K2B	protein_PIP4K2B	c	PI5P4KA;PI5P4KG	P78356
PIP4K2C	protein_PIP4K2C	c	PI5P4KA;PI5P4KG	Q8TBX8
PIP4P1	protein_PIP4P1	c	PI45P4P	Q86T03
PIP5K1A	protein_PIP5K1A	c	PI34P5K;PI35P4K;PI3P4K;PI3P5K;PI4P5K;PI5K	Q99755
PIP5K1C	protein_PIP5K1C	c	PI34P5K;PI35P4K;PI3P4K;PI3P5K;PI4P5K;PI5K	O60331
PISD	protein_PISD	c	PSDC	Q9UG56
PKLR	protein_PKLR	c	2LACK_L;PGLYCK;PYK	P30613
PKM	protein_PKM	c	2LACK_L;PGLYCK;PYK	P14618
PLA2G4A	protein_PLA2G4A	c	PAPLA2;PCOPLA2;PCPLA2;PCPPLA2;PEPLA2;PEPPLA2;PSPLA2	P47712
PLA2G4B	protein_PLA2G4B	c	LPCLPLB;LPELPLB;PAPLA2;PCOPLA2;PCPLA2;PCPPLA2;PEPLA2;PEPPLA2;PSPLA2	P0C869
PLAA	protein_PLAA	c	NTPA	Q9Y263
PLCB2	protein_PLCB2	c	PI45PLC;PI4PLC;PIPLC	Q00722
PLCB3	protein_PLCB3	c	PI45PLC;PI4PLC;PIPLC	Q01970
PLCG1	protein_PLCG1	c	PI45PLC;PI4PLC;PIPLC	P19174
PLD1	protein_PLD1	c	PCETHTP;PCPLD	Q13393
PLSCR1	protein_PLSCR1	pm	LPCSCRt;PCSCRt;PESCRt;PSSCRt	O15162
PLSCR4	protein_PLSCR4	pm	LPCSCRt;PCSCRt;PESCRt;PSSCRt	Q9NRQ2
PMM2	protein_PMM2	c	PMANM	O15305
PNP	protein_PNP	c	PNP;PNP2;PUNP3;PUNP4;PUNP5;PUNP6;PUNP7;RBVPNP;THIOGSNPNP	P00491
PNPLA6	protein_PNPLA6	c	LPCLPLB;MAGL1;MAGL2	Q8IY17
PNPO	protein_PNPO	c	PDX5PO;PYAM5PO	Q9NVS9
PPA1	protein_PPA1	c	PPA	Q15181
PPA2	protein_PPA2	c	PPA	Q9H2U2
PPCDC	protein_PPCDC	c	PPCDC	Q96CD2
PPCS	protein_PPCS	c	PPNCL3	Q9HAB8
PPIA	protein_PPIA	c	PEPTDPROI	P62937
PPIB	protein_PPIB	c	PEPTDPROI	P23284
PPIP5K2	protein_PPIP5K2	c	5PPINSP5P1K;INS6P1K	O43314
PPME1	protein_PPME1	c	PPMEPP2A	Q9Y570
PPP1CA	protein_PPP1CA	c	PROTSPP;PROTTPP	P62136
PPP1CB	protein_PPP1CB	c	PROTSPP;PROTTPP	P62140
PPP1CC	protein_PPP1CC	c	PROTSPP;PROTTPP	P36873
PPP2CA	protein_PPP2CA	c	LCMTPP2A;PPMEPP2A;PROTSPP;PROTTPP	P67775
PPP2CB	protein_PPP2CB	c	LCMTPP2A;PPMEPP2A;PROTSPP;PROTTPP	P62714
PPP2R1A	protein_PPP2R1A	c	PROTSPP;PROTTPP	P30153
PPP2R1B	protein_PPP2R1B	c	PROTSPP;PROTTPP	P30154
PPP2R5B	protein_PPP2R5B	c	PROTSPP;PROTTPP	Q15173
PPP2R5D	protein_PPP2R5D	c	PROTSPP;PROTTPP	Q14738
PRDX1	protein_PRDX1	c	PRDX2OX1;PRDX2OX2;PRDX2SO2OX1;PRDX2SOOX1;PRDX2SOR;PRDX2TRDXRD;SRDX1GTHRD	Q06830
PRDX2	protein_PRDX2	c	PRDX2OX1;PRDX2OX2;PRDX2SO2OX1;PRDX2SOOX1;PRDX2SOR;PRDX2TRDXRD;SRDX1GTHRD	P32119
PRDX4	protein_PRDX4	c	PRDX2OX1;PRDX2OX2;PRDX2SO2OX1;PRDX2SOOX1;PRDX2SOR;PRDX2TRDXRD;SRDX1GTHRD	Q13162
PRDX5	protein_PRDX5	c	PRDX2OX1;PRDX2OX2;PRDX2SOR;PRDX2TRDXRD	P30044
PRDX6	protein_PRDX6	c	2OHE1PX;2OHE2PX;4OHE1PX;4OHE2PX;56DHIPX;ADRNLPX_L;DOPAPX_L;DPAMPX_L;HPDHA10GTHR;HPDHA11GTHR;HPDHA13GTHR;HPDHA14GTHR;HPDHA16GTHR;HPDHA17GTHR;HPDHA20GTHR;HPDHA4GTHR;HPDHA7GTHR;HPDHA8GTHR;HPEPE11GTHR;HPEPE12GTHR;HPEPE15GTHR;HPEPE18GTHR;HPEPE5GTHR;HPEPE8GTHR;HPEPE9GTHR;HPETE11GTHR;HPETE12GTHR;HPETE15GTHR;HPETE5GTHR;HPETE8GTHR;HPETE9GTHR;HPODE13GTHR;HPODE9GTHR;LADRNCHRPX;LDPAMCHRPX;LDPCHRPX_L;LNRPPHRCHRPX;LPCAT;MEOHP;NRPPHRPX_L;PCOPLA2;PCPLA2;PCPPLA2;PEPPLA2;PGG1GTHR;PGG2GTHR;PGG3GTHR;PRDX1GRDX2CDG;PRDX1GTHDG;PRDX1GTHG;PRDX1OX1	P30041
PREP	protein_PREP	c	ANGIO58PEP	P48147
PRKAA1	protein_PRKAA1	c	PROTSK;PROTTK	Q13131
PRKAB1	protein_PRKAB1	c	PROTSK;PROTTK	Q9Y478
PRKACA	protein_PRKACA	c	PROTSK;PROTTK	P17612
PRKACB	protein_PRKACB	c	PROTSK;PROTTK	P22694
PRKAG1	protein_PRKAG1	c	PROTSK;PROTTK	P54619
PRKAR1A	protein_PRKAR1A	c	PROTSK;PROTTK	P10644
PRKAR1B	protein_PRKAR1B	c	PROTSK;PROTTK	P31321
PRKAR2A	protein_PRKAR2A	c	PROTSK;PROTTK	P13861
PRKAR2B	protein_PRKAR2B	c	PROTSK;PROTTK	P31323
PRKCA	protein_PRKCA	c	PROTSK;PROTTK	P17252
PRKCB	protein_PRKCB	c	PROTSK;PROTTK	P05771
PRKCI	protein_PRKCI	c	PROTSK;PROTTK	P41743
PRKCZ	protein_PRKCZ	c	PROTSK;PROTTK	Q05513
PRKD1	protein_PRKD1	c	PROTSK;PROTTK	Q15139
PRKG1	protein_PRKG1	c	PROTSK;PROTTK	Q13976
PRMT1	protein_PRMT1	c	PRMTADMA;PRMTMMA	Q99873
PRMT5	protein_PRMT5	c	PRMTMMA;PRMTSDMA	O14744
PRPS1	protein_PRPS1	c	PRPPS;PRPPSZ	P60891
PRPS1L1	protein_PRPS1L1	c	PRPPS;PRPPSZ	P21108
PRPS2	protein_PRPS2	c	PRPPS;PRPPSZ	P11908
PRUNE1	protein_PRUNE1	c	PPA	Q86TP1
PSAT1	protein_PSAT1	c	ASNTA;GOATA;GTHGLXTA;GTHOXATA;OPHGLXTA;OPHOXATA;PSERT	Q9Y617
PSPH	protein_PSPH	c	PSP_L	P78330
PTEN	protein_PTEN	c	MI1345P3PP	P60484
PTGES3	protein_PTGES3	c	PGE1S;PGE2S;PGE3S	Q15185
PTGR1	protein_PTGR1	c	15KPGE1Ry;15KPGE2Ry;15KPGE3Ry;15KPGF1Ry;15KPGF2Ry;15KPGF3Ry	Q14914
PTGS1	protein_PTGS1	c	PGG1S;PGG2S;PGG3S	P23219
PTGS2	protein_PTGS2	c	PGG1S;PGG2S;PGG3S	P35354
PTPA	protein_PTPA	c	PEPTDPROI	Q15257
PTPN1	protein_PTPN1	c	PROTYPP	P18031
PTPN11	protein_PTPN11	c	PROTYPP	Q06124
PTPN3	protein_PTPN3	c	PROTYPP	P26045
PTPN6	protein_PTPN6	c	PROTYPP	P29350
PTS	protein_PTS	c	PTHPS	Q03393
PUDP	protein_PUDP	c	NTDPSUMP	Q08623
PYCR3	protein_PYCR3	c	HPROy;P5CRx;P5CRy	Q53H96
PYGB	protein_PYGB	c	GLPASE1;GLPASE2	P11216
PYGL	protein_PYGL	c	GLPASE1;GLPASE2	P06737
PYGM	protein_PYGM	c	GLPASE1;GLPASE2	P11217
QARS1	protein_QARS1	c	GLNTRS	P47897
QDPR	protein_QDPR	c	DHPRx;DHPRy	P09417
QNG1	protein_QNG1	c	QMPNH	Q5T6V5
QPRT	protein_QPRT	c	NNDPR	Q15274
RAB10	protein_RAB10	c	NTPG	P61026
RAB11B	protein_RAB11B	c	NTPG	Q15907
RAB1A	protein_RAB1A	c	NTPG	P62820
RAB2A	protein_RAB2A	c	NTPG	P61019
RAB2B	protein_RAB2B	c	NTPG	Q8WUD1
RAB3C	protein_RAB3C	c	NTPG	Q96E17
RAB5A	protein_RAB5A	c	NTPG	P20339
RAB5B	protein_RAB5B	c	NTPG	P61020
RAB5C	protein_RAB5C	c	NTPG	P51148
RAB6B	protein_RAB6B	c	NTPG	Q9NRW1
RAB8A	protein_RAB8A	c	NTPG	P61006
RAC1	protein_RAC1	c	NTPG	P63000
RALA	protein_RALA	c	NTPG	P11233
RALBP1	protein_RALBP1	pm	1SGTH2OHE1ABCte;1SGTH2OHE2ABCte;2SGTH4OHE1ABCte;2SGTH4OHE2ABCte;4GTH56DHIABCte;4SGTH2OHE1ABCte;4SGTH2OHE2ABCte;56DHIGTHABCte;ADRNLGTHABCte;ARSSELDIGTHABCte;DOPAGTHABCte;DPAMGTHABCte;GTHNOABCte;GTHOXABCte;LADRNCHRGTHABCte;LDPCHRGTHABCte;LEUKTRC4ABCte;LEUKTRC5ABCte;LNRPPHRCHRGTHABCte;NRPPHRGTHABCte;PGA1GTHABC;PGA2GTHABC;PGA3GTHABC	Q15311
RAN	protein_RAN	c	NTPG	P62826
RAP1A	protein_RAP1A	c	NTPG	P62834
RAP2B	protein_RAP2B	c	NTPG	P61225
RARS1	protein_RARS1	c	ARGTRS	P54136
RBKS	protein_RBKS	c	RBK	Q9H477
RBX1	protein_RBX1	c	NEDD8E2CONJT;UBIQE2CONJT	P62877
RDH11	protein_RDH11	c	RDH1y;RDH2y;RDH3y;RDH4y	Q8TC12
RDH14	protein_RDH14	c	RDH1y;RDH2y;RDH3y	Q9HBH5
RFK	protein_RFK	c	RBFK	Q969G6
RHAG	protein_RHAG	pm	CO2t;MMAt2;NH3t;NH4t	Q02094
RHCE	protein_RHCE	pm	CO2t;MMAt2;NH3t;NH4t	P18577
RHD	protein_RHD	pm	CO2t;MMAt2;NH3t;NH4t	Q02161
RHOA	protein_RHOA	c	NTPG	P61586
RIDA	protein_RIDA	c	2IMBUTDA;2IMPPADA	P52758
RNF123	protein_RNF123	c	UBIQE2CONJT	Q5XPI4
ROCK2	protein_ROCK2	c	PROTSK;PROTTK	O75116
RPE	protein_RPE	c	RPE	Q96AT9
RPIA	protein_RPIA	c	ADPRPI;RPI	P49247
RPS6KA3	protein_RPS6KA3	c	PROTSK;PROTTK	P51812
RPS6KA4	protein_RPS6KA4	c	PROTSK;PROTTK	O75676
RPS6KA5	protein_RPS6KA5	c	PROTSK;PROTTK	O75582
RUVBL1	protein_RUVBL1	c	NTPA	Q9Y265
RUVBL2	protein_RUVBL2	c	NTPA	Q9Y230
SACM1L	protein_SACM1L	c	PI3PP;PI4PP	Q9NTJ5
SARS1	protein_SARS1	c	SERTRS	P49591
SBF1	protein_SBF1	c	PI35P3P;PI3PP	O95248
SCD	protein_SCD	c	CYTBFADSD9_16_0;CYTBFADSD9_18_0	O00767
SCN4A	protein_SCN4A	pm	NAt	P35499
SCN9A	protein_SCN9A	pm	NAt	Q15858
SDSL	protein_SDSL	c	SERHL;THRHL	Q96GA7
SELENBP1	protein_SELENBP1	c	MTOX	Q13228
SHMT1	protein_SHMT1	c	GHMT2;GHMT3;GHMT4;THRA	P34896
SHPK	protein_SHPK	c	SHPK	Q9UHJ6
SIRT2	protein_SIRT2	c	PROTKNADDAC	Q8IXJ6
SKP1	protein_SKP1	c	NEDD8E2CONJT;UBIQE2CONJT	P63208
SLC11A2	protein_SLC11A2	pm	CD2DMT1t;COBALT2DMT1t;FE2DMT1t;ME2DMT1t	P49281
SLC12A2	protein_SLC12A2	pm	NKCC2t;NKCCt	P55011
SLC12A4	protein_SLC12A4	pm	KCC2t;KCCt	Q9UP95
SLC12A6	protein_SLC12A6	pm	KCC2t;KCCt	Q9UHW9
SLC12A7	protein_SLC12A7	pm	KCC2t;KCCt	Q9Y666
SLC14A1	protein_SLC14A1	pm	UREAt	Q13336
SLC16A1	protein_SLC16A1	pm	2HB_5OXPROtex;2HB_ACACtex;2HB_ACtex;2HB_BUTtex;2HB_DLACtex;2HB_GLYCLTtex;2HB_PPAtex;2HBt2;2OBUT_2HBtex;2OBUT_5OXPROtex;2OBUT_ACACtex;2OBUT_ACtex;2OBUT_BUTtex;2OBUT_DLACtex;2OBUT_GLYCLTtex;2OBUT_LLACtex;2OBUT_PPAtex;2OBUTt;3MOBt2;4MOPt2;5OXPRO_ACACtex;5OXPRO_ACtex;5OXPRO_BUTtex;5OXPRO_DLACtex;5OXPRO_GLYCLTtex;5OXPRO_PPAtex;5OXPROt2;ACAC_ACtex;ACAC_GLYCLTtex;ACACt2;AC_GLYCLTtex;ACt2;BUT_ACACtex;BUT_ACtex;BUT_GLYCLTtex;BUT_PPAtex;BUTt2r;DLAC_ACACtex;DLAC_ACtex;DLAC_BUTtex;DLAC_GLYCLTtex;DLAC_PPAtex;D_LACt2;GLYCLTt2;H2SUCCt;LLAC_2HBtex;LLAC_5OXPROtex;LLAC_ACACtex;LLAC_ACtex;LLAC_BUTtex;LLAC_DLACtex;LLAC_GLYCLTtex;LLAC_PPAtex;L_LACt2;PPA_ACACtex;PPA_ACtex;PPA_GLYCLTtex;PPAt2r;PYR_2HBtex;PYR_2OBUTtex;PYR_5OXPROtex;PYR_ACACtex;PYR_ACtex;PYR_BUTtex;PYR_DLACtex;PYR_GLYCLTtex;PYR_LLACtex;PYR_PPAtex;PYRt2	P53985
SLC16A10	protein_SLC16A10	pm	LDOPAt;PHEtec;TETIODTHYt2;TRIIODTHYt2;TRPtec;TYRtec	Q8TF71
SLC16A7	protein_SLC16A7	pm	2HB_5OXPROtex;2HB_ACACtex;2HB_ACtex;2HB_BUTtex;2HB_DLACtex;2HB_GLYCLTtex;2HB_PPAtex;2HBt2;2OBUT_2HBtex;2OBUT_5OXPROtex;2OBUT_ACACtex;2OBUT_ACtex;2OBUT_BUTtex;2OBUT_DLACtex;2OBUT_GLYCLTtex;2OBUT_LLACtex;2OBUT_PPAtex;2OBUTt;3MOBt2;4MOPt2;5OXPRO_ACACtex;5OXPRO_ACtex;5OXPRO_BUTtex;5OXPRO_DLACtex;5OXPRO_GLYCLTtex;5OXPRO_PPAtex;5OXPROt2;ACAC_ACtex;ACAC_GLYCLTtex;ACACt2;AC_GLYCLTtex;ACt2;BUT_ACACtex;BUT_ACtex;BUT_GLYCLTtex;BUT_PPAtex;BUTt2r;DLAC_ACACtex;DLAC_ACtex;DLAC_BUTtex;DLAC_GLYCLTtex;DLAC_PPAtex;D_LACt2;GLYCLTt2;H2SUCCt;LLAC_2HBtex;LLAC_5OXPROtex;LLAC_ACACtex;LLAC_ACtex;LLAC_BUTtex;LLAC_DLACtex;LLAC_GLYCLTtex;LLAC_PPAtex;L_LACt2;PPA_ACACtex;PPA_ACtex;PPA_GLYCLTtex;PPAt2r;PYR_2HBtex;PYR_2OBUTtex;PYR_5OXPROtex;PYR_ACACtex;PYR_ACtex;PYR_BUTtex;PYR_DLACtex;PYR_GLYCLTtex;PYR_LLACtex;PYR_PPAtex;PYRt2	O60669
SLC16A9	protein_SLC16A9	pm	CREATt;CRNt	Q7RTY1
SLC17A7	protein_SLC17A7	pm	NO2_2Natex;PI2Natex	Q9P2U7
SLC19A1	protein_SLC19A1	pm	23CGAMP_AICARtex;23CGAMP_OHtex;23CGAMP_THMMPtex;5FTHF_5MTHFtex;5FTHF_AICARtex;5FTHF_OHtex;5FTHF_THMMPtex;5MTHF_AICARtex;5MTHF_OHtex;5MTHF_THMMPtex;THF_5FTHFtex;THF_5MTHFtex;THF_AICARtex;THF_OHtex;THF_THMMPtex;THMMP_OHtex	P41440
SLC19A2	protein_SLC19A2	pm	PYDXNHt;THMt3	O60779
SLC1A1	protein_SLC1A1	pm	ASPNaHKtex;GLUNaHKtex	P43005
SLC1A4	protein_SLC1A4	pm	4HPROLTASCT1;ALACYSNaEx;ALAHCYSNaEx;ALAPROASCT1;ALASERNaEx;ALATHRNaEx;CYSALANaEx;CYSSERNaEx;CYSTHRNaEx;HCYSALANaEx;HCYSSERNaEx;HCYSTHRNaEx;SERALANaEx;SERCYSNaEx;SERHCYSNaEx;SERTHRNaEx;THRALANaEx;THRCYSNaEx;THRHCYSNaEx;THRSERNaEx	P43007
SLC1A5	protein_SLC1A5	pm	ALAASNNaEx;ALACYSNaEx;ALAGLNNaEx;ALASERNaEx;ALATHRNaEx;ASNALANaEx;ASNCYSNaEx;ASNGLNNaEx;ASNSERNaEx;ASNTHRNaEx;CYSALANaEx;CYSSERNaEx;CYSTHRNaEx;GLNALANaEx;GLNASNNaEx;GLNCYSNaEx;GLNSERNaEx;GLNTHRNaEx;SERALANaEx;SERASNNaEx;SERCYSNaEx;SERGLNNaEx;SERTHRNaEx;THRALANaEx;THRASNNaEx;THRCYSNaEx;THRGLNNaEx;THRSERNaEx	Q15758
SLC22A16	protein_SLC22A16	pm	CRNt;CRNtuNa;ERGOTHtuNa;SPMDtex2	Q86VW1
SLC22A4	protein_SLC22A4	pm	ACHt;CRNtuNa;ERGOTHtuNa;GLYBNatex;Kt1	Q9H015
SLC22A7	protein_SLC22A7	pm	CAMPtec;CGMPtec;CIMPtec;CRTNt;GLUte;INDStec;NACt;OROTGLUex	Q9Y694
SLC25A3	protein_SLC25A3	pm	NaLitex	Q00325
SLC25A31	protein_SLC25A31	pm	ATPte	Q9H0C2
SLC25A4	protein_SLC25A4	pm	ATPte	P12235
SLC25A5	protein_SLC25A5	pm	ATPte	P05141
SLC25A6	protein_SLC25A6	pm	ATPte	P12236
SLC26A6	protein_SLC26A6	pm	ClFORtex2;ClHCO3tex2;ClOHtex2;ClOXAtex2;SO4Cltex2;SO4OXAtex2	Q9BXS9
SLC27A2	protein_SLC27A2	pm	FAt_16_0;FAt_16_2E;FAt_18_0;FAt_18_9Z;FAt_18_9Z12Z;FAt_20_5Z8Z11Z14Z;FAt_hs_10_0;FAt_hs_11_0;FAt_hs_12_0;FAt_hs_13_0;FAt_hs_14_0;FAt_hs_14_5Z;FAt_hs_14_7Z;FAt_hs_14_9Z;FAt_hs_15_0;FAt_hs_16_7Z;FAt_hs_16_9Z;FAt_hs_17_0;FAt_hs_17_10Z;FAt_hs_17_9Z;FAt_hs_18_11Z;FAt_hs_18_13Z;FAt_hs_18_6Z9Z;FAt_hs_18_6Z9Z12Z;FAt_hs_18_6Z9Z12Z15Z;FAt_hs_18_7Z;FAt_hs_18_9E;FAt_hs_18_9Z12Z15Z;FAt_hs_19_0;FAt_hs_20_0;FAt_hs_20_11Z;FAt_hs_20_11Z14Z;FAt_hs_20_11Z14Z17Z;FAt_hs_20_13Z;FAt_hs_20_5Z8Z11Z;FAt_hs_20_5Z8Z11Z14Z17Z;FAt_hs_20_8Z11Z;FAt_hs_20_8Z11Z14Z;FAt_hs_20_8Z11Z14Z17Z;FAt_hs_20_9Z;FAt_hs_21_0;FAt_hs_22_0;FAt_hs_22_10Z13Z16Z;FAt_hs_22_10Z13Z16Z19Z;FAt_hs_22_11Z;FAt_hs_22_13Z;FAt_hs_22_13Z16Z;FAt_hs_22_13Z16Z19Z;FAt_hs_22_4Z7Z10Z13Z16Z;FAt_hs_22_4Z7Z10Z13Z16Z19Z;FAt_hs_22_7Z10Z13Z16Z;FAt_hs_22_7Z10Z13Z16Z19Z;FAt_hs_23_0;FAt_hs_24_0;FAt_hs_24_12Z15Z18Z21Z;FAt_hs_24_15Z;FAt_hs_24_6Z9Z12Z15Z18Z;FAt_hs_24_6Z9Z12Z15Z18Z21Z;FAt_hs_24_9Z12Z15Z18Z;FAt_hs_24_9Z12Z15Z18Z21Z;FAt_hs_26_0;FAt_hs_26_17Z;FAt_hs_4_0;FAt_hs_5_0;FAt_hs_6_0;FAt_hs_7_0;FAt_hs_8_0;FAt_hs_9_0	O14975
SLC27A4	protein_SLC27A4	pm	FACOAL_12_0;FACOAL_13_0;FACOAL_14_0;FACOAL_14_5Z;FACOAL_14_7Z;FACOAL_14_9Z;FACOAL_15_0;FACOAL_16_0;FACOAL_16_7Z;FACOAL_16_9Z;FACOAL_17_0;FACOAL_17_10Z;FACOAL_17_9Z;FACOAL_18_0;FACOAL_18_11Z;FACOAL_18_13Z;FACOAL_18_6Z9Z;FACOAL_18_6Z9Z12Z;FACOAL_18_6Z9Z12Z15Z;FACOAL_18_7Z;FACOAL_18_9E;FACOAL_18_9Z;FACOAL_18_9Z12Z;FACOAL_18_9Z12Z15Z;FACOAL_19_0;FACOAL_20_0;FACOAL_20_11Z;FACOAL_20_11Z14Z;FACOAL_20_11Z14Z17Z;FACOAL_20_13Z;FACOAL_20_5Z8Z11Z;FACOAL_20_5Z8Z11Z14Z;FACOAL_20_5Z8Z11Z14Z17Z;FACOAL_20_8Z11Z;FACOAL_20_8Z11Z14Z;FACOAL_20_8Z11Z14Z17Z;FACOAL_20_9Z;FACOAL_21_0;FACOAL_22_0;FACOAL_22_10Z13Z16Z;FACOAL_22_10Z13Z16Z19Z;FACOAL_22_11Z;FACOAL_22_13Z;FACOAL_22_13Z16Z;FACOAL_22_13Z16Z19Z;FACOAL_22_4Z7Z10Z13Z16Z;FACOAL_22_4Z7Z10Z13Z16Z19Z;FACOAL_22_7Z10Z13Z16Z;FACOAL_22_7Z10Z13Z16Z19Z;FACOAL_23_0;FACOAL_24_0;FACOAL_24_12Z15Z18Z21Z;FACOAL_24_15Z;FACOAL_24_6Z9Z12Z15Z18Z;FACOAL_24_6Z9Z12Z15Z18Z21Z;FACOAL_24_9Z12Z15Z18Z;FACOAL_24_9Z12Z15Z18Z21Z;FACOAL_26_0;FACOAL_26_17Z;FAt_16_0;FAt_16_2E;FAt_18_0;FAt_18_9Z;FAt_18_9Z12Z;FAt_20_5Z8Z11Z14Z;FAt_hs_10_0;FAt_hs_11_0;FAt_hs_12_0;FAt_hs_13_0;FAt_hs_14_0;FAt_hs_14_5Z;FAt_hs_14_7Z;FAt_hs_14_9Z;FAt_hs_15_0;FAt_hs_16_7Z;FAt_hs_16_9Z;FAt_hs_17_0;FAt_hs_17_10Z;FAt_hs_17_9Z;FAt_hs_18_11Z;FAt_hs_18_13Z;FAt_hs_18_6Z9Z;FAt_hs_18_6Z9Z12Z;FAt_hs_18_6Z9Z12Z15Z;FAt_hs_18_7Z;FAt_hs_18_9E;FAt_hs_18_9Z12Z15Z;FAt_hs_19_0;FAt_hs_20_0;FAt_hs_20_11Z;FAt_hs_20_11Z14Z;FAt_hs_20_11Z14Z17Z;FAt_hs_20_13Z;FAt_hs_20_5Z8Z11Z;FAt_hs_20_5Z8Z11Z14Z17Z;FAt_hs_20_8Z11Z;FAt_hs_20_8Z11Z14Z;FAt_hs_20_8Z11Z14Z17Z;FAt_hs_20_9Z;FAt_hs_21_0;FAt_hs_22_0;FAt_hs_22_10Z13Z16Z;FAt_hs_22_10Z13Z16Z19Z;FAt_hs_22_11Z;FAt_hs_22_13Z;FAt_hs_22_13Z16Z;FAt_hs_22_13Z16Z19Z;FAt_hs_22_4Z7Z10Z13Z16Z;FAt_hs_22_4Z7Z10Z13Z16Z19Z;FAt_hs_22_7Z10Z13Z16Z;FAt_hs_22_7Z10Z13Z16Z19Z;FAt_hs_23_0;FAt_hs_24_0;FAt_hs_24_12Z15Z18Z21Z;FAt_hs_24_15Z;FAt_hs_24_6Z9Z12Z15Z18Z;FAt_hs_24_6Z9Z12Z15Z18Z21Z;FAt_hs_24_9Z12Z15Z18Z;FAt_hs_24_9Z12Z15Z18Z21Z;FAt_hs_26_0;FAt_hs_26_17Z;FAt_hs_4_0;FAt_hs_5_0;FAt_hs_6_0;FAt_hs_7_0;FAt_hs_8_0;FAt_hs_9_0	Q6P1M0
SLC29A1	protein_SLC29A1	pm	2DADNt;2DCYTt;2DGSNt;2DINSt;2DURIt;4PYRNt;5FLURAt;5MTAtec;78DHBPTt;ADEt;ADNt;AICAt;CYTDt;GSNt;GUAt;HYXNt;INSt;MERCPURt;NICRNSt;RBVt;RNAMHt;RNAMt;SPPTt;THBPTt;THYMDt;THYMt;URAt;URIt	Q99808
SLC2A1	protein_SLC2A1	pm	ARAB_Lt;ASCBt;DHAAt1r;GAL_Dt;GAL_bDt;GAMt1r;GLC_Dt;GLC_aDt;MANt1r	P11166
SLC2A14	protein_SLC2A14	pm	ASCBt;DHAAt1r;GLC_Dt;GLC_aDt	Q8TDB8
SLC2A2	protein_SLC2A2	pm	ASCBt;DHAAt1r;FRUt1r;GAL_Dt;GAL_bDt;GLC_Dt;GLC_aDt	P11168
SLC2A3	protein_SLC2A3	pm	ARAB_Lt;ASCBt;DHAAt1r;GAL_Dt;GAL_bDt;GLC_Dt;GLC_aDt;MANt1r;XYLt	P11169
SLC2A4	protein_SLC2A4	pm	ASCBt;DHAAt1r;GAMt1r;GLC_Dt;GLC_aDt	P14672
SLC2A5	protein_SLC2A5	pm	FRUt1r	P22732
SLC30A1	protein_SLC30A1	pm	ZN2Htex2	Q9Y6M5
SLC31A1	protein_SLC31A1	pm	AG1tec;CU1tec	O15431
SLC39A10	protein_SLC39A10	pm	ZN2t	Q9ULF5
SLC39A8	protein_SLC39A8	pm	CD2_2HCO3t;COBALT2_2HCO3t;FE2_2HCO3t;MN2_2HCO3t;ZN2_2HCO3t;ZN2_HCO3_SELNIt	Q9C0K1
