genes	name	uniprot	ncbigene	hgnc.symbol	proteomic evidence (#studies)	proteomic evidence (pubmed)	references	notes
PGLS	6PGL	O95336	25796	PGLS	17	pubmed:18494517;pubmed:18614565;pubmed:23781972;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:3858849;pubmed:3932573	
PGP	PGP	A6NDG6	283871	PGP	17	pubmed:18399644;pubmed:18494517;pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33341364;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:6258579	
PIEZO1	PIEZ1	Q92508	9780	PIEZO1	17	pubmed:22954596;pubmed:24555563;pubmed:26078478;pubmed:26271157;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30271928;pubmed:30327373;pubmed:31552303;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:26001274;pubmed:26351678;pubmed:28619848;pubmed:31646528;pubmed:33690597;pubmed:38033286	
PREP	PPCE	P48147	5550	PREP	17	pubmed:16861337;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591		
RALA	RALA	P11233	5898	RALA	17	pubmed:16861337;pubmed:18614565;pubmed:19778645;pubmed:22954596;pubmed:24555563;pubmed:26078478;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:37942280;pubmed:38147558;pubmed:38964323		
SLC14A1	UT1	Q13336	6563	SLC14A1	17	pubmed:16861337;pubmed:22954596;pubmed:24555563;pubmed:26078478;pubmed:27006477;pubmed:28263177;pubmed:28689405;pubmed:30271928;pubmed:30327373;pubmed:31552303;pubmed:33103907;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:37760001;pubmed:37942280;pubmed:38964323	pubmed:23219802;pubmed:7797558	
THOP1	THOP1	P52888	7064	THOP1	17	pubmed:18494517;pubmed:18614565;pubmed:19778645;pubmed:24555563;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:8373360	
UROD	DCUP	P06132	7389	UROD	17	pubmed:16861337;pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:38147558;pubmed:38964323	pubmed:2363688;pubmed:6626181	
AARS1	SYAC	P49588	16	AARS1	16	pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33676898;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:19421340;pubmed:35976696	
ABHD14B	ABHEB	Q96IU4	84836	ABHD14B	16	pubmed:18399644;pubmed:18494517;pubmed:18614565;pubmed:23781972;pubmed:24555563;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323		
ALDH9A1	AL9A1	P49189	223	ALDH9A1	16	pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323		
ATP2B1	AT2B1	P20020	490	ATP2B1	16	pubmed:16861337;pubmed:22954596;pubmed:24555563;pubmed:26078478;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30271928;pubmed:30327373;pubmed:31552303;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37942280;pubmed:38964323	pubmed:27239515	
CDC37	CDC37	Q16543	11140	CDC37	16	pubmed:18494517;pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323		
CUL3	CUL3	Q13618	8452	CUL3	16	pubmed:19778645;pubmed:24555563;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:38147558;pubmed:38964323;pubmed:40043591		
CUL4A	CUL4A	Q13619	8451	CUL4A	16	pubmed:18399644;pubmed:18494517;pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:38147558;pubmed:38964323		
DTYMK	KTHY	P23919	1841	DTYMK	16	pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33676898;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:5853497	
GSTP1	GSTP1	P09211	2950	GSTP1	16	pubmed:16861337;pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:21377322	
HBE1	HBE	P02100	3046	HBE1	16	pubmed:14963112;pubmed:16861337;pubmed:18614565;pubmed:24555563;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:30327373;pubmed:33103907;pubmed:33676898;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:11747442;pubmed:20925047;pubmed:6171809;pubmed:9665850	
HBG2	HBG2	P69892	3048	HBG2	16	pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:11747442;pubmed:20925047;pubmed:6171809	
NUDT5	NUDT5	Q9UKK9	11164	NUDT5	16	pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33676898;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:10567213;pubmed:8216206;pubmed:9693963	
PAFAH1B2	PA1B2	P68402	5049	PAFAH1B2	16	pubmed:16861337;pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:21844189;pubmed:8440681	
PDIA6	PDIA6	Q15084	10130	PDIA6	16	pubmed:19778645;pubmed:22954596;pubmed:24555563;pubmed:26078478;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:37760001;pubmed:37942280;pubmed:38964323	doi:10.1016/j.euprot.2015.04.001;pubmed:29599206	
PGAM1	PGAM1	P18669	5223	PGAM1	16	pubmed:24555563;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:2846554	
PGM2L1	PGM2L	Q6PCE3	283209	PGM2L1	16	pubmed:18494517;pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:38147558;pubmed:38964323	pubmed:17804405;pubmed:2533352;pubmed:2948936;pubmed:3157431;pubmed:6240990;pubmed:6450158	
PHPT1	PHP14	Q9NRX4	29085	PHPT1	16	pubmed:18494517;pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:38147558;pubmed:38964323	pubmed:17472574	
RHAG	RHAG	Q02094	6005	RHAG	16	pubmed:16861337;pubmed:24555563;pubmed:26078478;pubmed:26474164;pubmed:28263177;pubmed:30271928;pubmed:30327373;pubmed:31552303;pubmed:33103907;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	doi:10.1134/S1990747816040097;pubmed:11861637;pubmed:1417776;pubmed:20457942;pubmed:23417980;pubmed:35835865	
ROCK2	ROCK2	O75116	9475	ROCK2	16	pubmed:18494517;pubmed:18614565;pubmed:22954596;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:25035675	
SACM1L	SAC1	Q9NTJ5	22908	SACM1L	16	pubmed:16861337;pubmed:19778645;pubmed:22954596;pubmed:24555563;pubmed:26078478;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:31552303;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:37942280;pubmed:38147558;pubmed:38964323		
SLC16A1	MOT1	P53985	6566	SLC16A1	16	pubmed:16861337;pubmed:24555563;pubmed:26078478;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30271928;pubmed:30327373;pubmed:31552303;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:32996603;pubmed:6764785	
SLC30A1	ZNT1	Q9Y6M5	7779	SLC30A1	16	pubmed:16861337;pubmed:22954596;pubmed:24555563;pubmed:26078478;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30271928;pubmed:30327373;pubmed:31552303;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:38147558;pubmed:38964323	pubmed:18936201	
SLC40A1	S40A1	Q9NP59	30061	SLC40A1	16	pubmed:16861337;pubmed:19778645;pubmed:26078478;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30271928;pubmed:30327373;pubmed:31552303;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:23219802;pubmed:2835996;pubmed:29599243;pubmed:6095836	
TARS1	SYTC	P26639	6897	TARS1	16	pubmed:18494517;pubmed:18614565;pubmed:19778645;pubmed:24555563;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:35858567;pubmed:37760001;pubmed:37942280;pubmed:38964323	pubmed:19421340;pubmed:35976696	
TKT	TKT	P29401	7086	TKT	16	pubmed:24555563;pubmed:26078478;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:3089282;pubmed:3237644;pubmed:7115375	
UBE2L3	UB2L3	P68036	7332	UBE2L3	16	pubmed:18614565;pubmed:22954596;pubmed:24555563;pubmed:26474164;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323		
UBE2M	UBC12	P61081	9040	UBE2M	16	pubmed:18494517;pubmed:18614565;pubmed:19778645;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33341364;pubmed:33676898;pubmed:35858567;pubmed:36346805;pubmed:37942280;pubmed:38964323		
UBE2V2	UB2V2	Q15819	7336	UBE2V2	16	pubmed:18494517;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323		
UGP2	UGPA	Q16851	7360	UGP2	16	pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:5782905	
ACHE	ACES	P22303	43	ACHE	15	pubmed:19778645;pubmed:24555563;pubmed:26078478;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30271928;pubmed:30327373;pubmed:31552303;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:2714437;pubmed:5073758	
ACOT7	BACH	O00154	11332	ACOT7	15	pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33676898;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323		
ACSL3	ACSL3	O95573	2181	ACSL3	15	pubmed:16861337;pubmed:19778645;pubmed:26078478;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:31552303;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:37942280;pubmed:38147558;pubmed:38964323		
ADK	ADK	P55263	132	ADK	15	pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:3036217	
AMPD3	AMPD3	Q01432	272	AMPD3	15	pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:38147558;pubmed:38964323	pubmed:1420359;pubmed:29079593;pubmed:618880	
APRT	APT	P07741	353	APRT	15	pubmed:18614565;pubmed:23781972;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33676898;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38964323	pubmed:3531209;pubmed:457664	
CLNS1A	ICLN	P54105	1207	CLNS1A	15	pubmed:16861337;pubmed:18494517;pubmed:18614565;pubmed:24555563;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323		
CPT1A	CPT1A	P50416	1374	CPT1A	15	pubmed:16861337;pubmed:24555563;pubmed:26078478;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:31552303;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:1618773;pubmed:2039446;pubmed:38513237	
GNPDA1	GNPI1	P46926	10007	GNPDA1	15	pubmed:18494517;pubmed:18614565;pubmed:26474164;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:7577655	
GSTM3	GSTM3	P21266	2947	GSTM3	15	pubmed:18494517;pubmed:23781972;pubmed:24555563;pubmed:26474164;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323		
HAGH	GLO2	Q16775	3029	HAGH	15	pubmed:24555563;pubmed:26078478;pubmed:27006477;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:15117945;pubmed:3196289;pubmed:5485124;pubmed:93000	
HBZ	HBAZ	P02008	3050	HBZ	15	pubmed:18614565;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591		
HDDC2	HDDC2	Q7Z4H3	51020	HDDC2	15	pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:38147558;pubmed:38964323		
LPIN2	LPIN2	Q92539	9663	LPIN2	15	pubmed:18614565;pubmed:22954596;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:38147558;pubmed:38964323	pubmed:15994876	
MIF	MIF	P14174	4282	MIF	15	pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:29275011;pubmed:31812320	
NQO2	NQO2	P16083	4835	NQO2	15	pubmed:18399644;pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:12435804;pubmed:15078100	
PI4K2A	P4K2A	Q9BTU6	55361	PI4K2A	15	pubmed:16861337;pubmed:18614565;pubmed:22954596;pubmed:24555563;pubmed:26078478;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:31552303;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:38964323	pubmed:1652438	
PLSCR1	PLS1	O15162	5359	PLSCR1	15	pubmed:16861337;pubmed:19778645;pubmed:22954596;pubmed:24555563;pubmed:26078478;pubmed:27006477;pubmed:28263177;pubmed:28689405;pubmed:30271928;pubmed:30327373;pubmed:31552303;pubmed:33806028;pubmed:35858567;pubmed:37760001;pubmed:38964323	pubmed:8663431;pubmed:9218461	
PNPO	PNPO	Q9NVS9	55163	PNPO	15	pubmed:18494517;pubmed:18614565;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:7448195	
PPCS	PPCS	Q9HAB8	79717	PPCS	15	pubmed:18494517;pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:35858567;pubmed:36346805;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:11923312;pubmed:19584050	
PPP2R5D	2A5D	Q14738	5528	PPP2R5D	15	pubmed:18399644;pubmed:18494517;pubmed:18614565;pubmed:19778645;pubmed:24555563;pubmed:26474164;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:38147558;pubmed:38964323	pubmed:10578065;pubmed:2831201;pubmed:9180267	
RAB2B	RAB2B	Q8WUD1	84932	RAB2B	15	pubmed:18614565;pubmed:19778645;pubmed:22954596;pubmed:26078478;pubmed:28263177;pubmed:28689405;pubmed:30271928;pubmed:30327373;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323		
ALDOC	ALDOC	P09972	230	ALDOC	14	pubmed:26078478;pubmed:27006477;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:6692576;pubmed:7406436;pubmed:889843	
ASL	ARLY	P04424	435	ASL	14	pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:38147558;pubmed:38964323	pubmed:2085183;pubmed:29079593	
ATP6V1D	VATD	Q9Y5K8	51382	ATP6V1D	14	pubmed:18614565;pubmed:19778645;pubmed:26474164;pubmed:27006477;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:37760001;pubmed:38147558;pubmed:38964323	pubmed:33341364;pubmed:7796469	
ATP6V1G1	VATG1	O75348	9550	ATP6V1G1	14	pubmed:18494517;pubmed:18614565;pubmed:22954596;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28689405;pubmed:30327373;pubmed:33806028;pubmed:35858567;pubmed:37760001;pubmed:38147558;pubmed:38964323	pubmed:33341364;pubmed:7796469	
CMPK1	KCY	P30085	51727	CMPK1	14	pubmed:26474164;pubmed:27006477;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:170192;pubmed:178178;pubmed:180018;pubmed:40615;pubmed:626478	
CNDP2	CNDP2	Q96KP4	55748	CNDP2	14	pubmed:18614565;pubmed:23781972;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:395949;pubmed:6058286;pubmed:6934695	
COASY	COASY	Q13057	80347	COASY	14	pubmed:16861337;pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:11923312;pubmed:19584050	
CTPS2	PYRG2	Q9NRF8	56474	CTPS2	14	pubmed:18614565;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:38147558;pubmed:38964323	pubmed:10064135	
CUL5	CUL5	Q93034	8065	CUL5	14	pubmed:22954596;pubmed:24555563;pubmed:26474164;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:38147558;pubmed:38964323		
DHRS11	DHR11	Q6UWP2	79154	DHRS11	14	pubmed:18494517;pubmed:18614565;pubmed:19778645;pubmed:26474164;pubmed:27006477;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:38147558;pubmed:38964323		
DNPEP	DNPEP	Q9ULA0	23549	DNPEP	14	pubmed:24555563;pubmed:26474164;pubmed:28263177;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:200994	
FABP5	FABP5	Q01469	2171	FABP5	14	pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38964323		
FAF1	FAF1	Q9UNN5	11124	FAF1	14	pubmed:18494517;pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:38147558;pubmed:38964323;pubmed:40043591		
FDPS	FPPS	P14324	2224	FDPS	14	pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323		
FKBP1A	FKB1A	P62942	2280	FKBP1A	14	pubmed:24555563;pubmed:26474164;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:10515881;pubmed:18494517;pubmed:24555563;pubmed:26474164;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:35858567;pubmed:36346805;pubmed:7575593	
GBE1	GLGB	Q04446	2632	GBE1	14	pubmed:18494517;pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:5240360	
GMPPA	GMPPA	Q96IJ6	29926	GMPPA	14	pubmed:18399644;pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:38147558;pubmed:38964323	pubmed:28833234	
GRHPR	GRHPR	Q9UBQ7	9380	GRHPR	14	pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:38147558;pubmed:38964323	pubmed:26546809	
