	genes	mim	mim.phenotype	hgnc.symbol	type	ncbigene	ensembl	phenotype	cyto.location	morbid.symbol	chromosome	ensemble	mgi	title	title.symbol	mim.all	mim.phenotype.title	mim.phenotype.title.symbol
714	RALBP1	605801		RALBP1	gene	10928	ENSG00000017797				chr18	ENSG00000017797	108466	RALA-BINDING PROTEIN 1	RALBP1	605801		
715	RAN	601179		RAN	gene	5901	ENSG00000132341				chr12	ENSG00000132341	1333112	RAS-RELATED NUCLEAR PROTEIN	RAN	601179		
716	RAP1A	179520		RAP1A	gene	5906	ENSG00000116473				chr1	ENSG00000116473	97852	RAS-RELATED PROTEIN 1A	RAP1A	179520		
717	RAP2B	179541		RAP2B	gene	5912	ENSG00000181467				chr3	ENSG00000181467	1921262	RAS-RELATED PROTEIN 2B	RAP2B	179541		
718	RARS1	107820	616140	RARS1	gene	5917	ENSG00000113643	Leukodystrophy, hypomyelinating, 9, 616140 (3)	5q34	RARS1	chr5	ENSG00000113643	1914297	ARGINYL-tRNA SYNTHETASE 1	RARS1	107820;616140	LEUKODYSTROPHY, HYPOMYELINATING, 9	HLD9
719	RBKS	611132		RBKS	gene	64080	ENSG00000171174				chr2	ENSG00000171174	1918586	RIBOKINASE	RBKS	611132		
720	RBX1	603814		RBX1	gene	9978	ENSG00000100387				chr22	ENSG00000100387	1891829;3710517	RING-BOX 1	RBX1	603814		
721	RDH11	607849	616108	RDH11	gene	51109	ENSG00000072042	?Retinal dystrophy, juvenile cataracts, and short stature syndrome, 616108 (3)	14q24.1	RDH11	chr14	ENSG00000072042	102581	RETINOL DEHYDROGENASE 11	RDH11	607849;616108	RETINAL DYSTROPHY, JUVENILE CATARACTS, AND SHORT STATURE SYNDROME	RDJCSS
722	RDH14	616796		RDH14	gene	57665	ENSG00000240857				chr2	ENSG00000240857	1920402	RETINOL DEHYDROGENASE 14	RDH14	616796		
723	RFK	613010		RFK	gene	55312	ENSG00000135002				chr9	ENSG00000135002	1914688	RIBOFLAVIN KINASE	RFK	613010		
724	RHAG	180297	185000	RHAG	gene	6005	ENSG00000112077	Overhydrated hereditary stomatocytosis, 185000 (3)	6p12.3	RHAG	chr6	ENSG00000112077	1202713	RHESUS BLOOD GROUP-ASSOCIATED GLYCOPROTEIN	RHAG	180297;185000	OVERHYDRATED HEREDITARY STOMATOCYTOSIS	OHST
725	RHAG	180297	268150	RHAG	gene	6005	ENSG00000112077	Anemia, hemolytic, Rh-null, regulator type, 268150 (3)	6p12.3	RHAG	chr6	ENSG00000112077	1202713	RHESUS BLOOD GROUP-ASSOCIATED GLYCOPROTEIN	RHAG	180297;268150	RH-NULL, REGULATOR TYPE	RHNR
726	RHCE	111700	617970	RHCE	gene	6006	ENSG00000188672	Rh-null disease, amorph type, 617970 (3)	1p36.11	RHCE	chr1	ENSG00000188672	1202882	RHESUS BLOOD GROUP, CcEe ANTIGENS	RHCE	111700;617970	RH-NULL, AMORPH TYPE	RHNA
727	RHD	111680	111690	RHD	gene	6007	ENSG00000187010	[Blood group, RH system], 111690 (3)	1p36.11	RHD	chr1	ENSG00000187010	1202882	RHESUS BLOOD GROUP, D ANTIGEN	RHD	111680;111690	BLOOD GROUP, RH SYSTEM	
728	RHD	111680	619462	RHD	gene	6007	ENSG00000187010	{Hemolytic disease of fetus and newborn, RH-induced}, 619462 (3)	1p36.11	RHD	chr1	ENSG00000187010	1202882	RHESUS BLOOD GROUP, D ANTIGEN	RHD	111680;619462	HEMOLYTIC DISEASE OF FETUS AND NEWBORN, RH-INDUCED	HDFNRH
729	RHOA	165390	618727	RHOA	gene	387	ENSG00000067560	Ectodermal dysplasia with facial dysmorphism and acral, ocular, and brain anomalies, somatic mosaic, 618727 (3)	3p21.31	RHOA	chr3	ENSG00000067560	1096342	RAS HOMOLOG GENE FAMILY, MEMBER A	RHOA	165390;618727	ECTODERMAL DYSPLASIA WITH FACIAL DYSMORPHISM AND ACRAL, OCULAR, AND BRAIN ANOMALIES	EDFAOB
730	RIDA	602487		RIDA	gene	10247	ENSG00000132541				chr8	ENSG00000132541	1095401	HEAT-RESPONSIVE PROTEIN 12	HRSP12	602487		
731	RNF123	614472		RNF123	gene	63891	ENSG00000164068				chr3	ENSG00000164068	2148796	RING FINGER PROTEIN 123	RNF123	614472		
732	ROCK2	604002		ROCK2	gene	9475	ENSG00000134318				chr2	ENSG00000134318	107926	RHO-ASSOCIATED COILED-COIL-CONTAINING PROTEIN KINASE 2	ROCK2	604002		
733	RPE	180480		RPE	gene	6120	ENSG00000197713				chr2	ENSG00000197713	1913896	RIBULOSE 5-PHOSPHATE 3-EPIMERASE	RPE	180480		
734	RPIA	180430	608611	RPIA	gene	22934	ENSG00000153574	Ribose 5-phosphate isomerase deficiency, 608611 (3)	2p11.2	RPIA	chr2	ENSG00000153574	103254	RIBOSE 5-PHOSPHATE ISOMERASE A	RPIA	180430;608611	RIBOSE 5-PHOSPHATE ISOMERASE DEFICIENCY	RPIAD
735	RPS6KA3	300075	300844	RPS6KA3	gene	6197	ENSG00000177189	Intellectual developmental disorder, X-linked 19, 300844 (3)	Xp22.12	RPS6KA3	chrX	ENSG00000177189	104557	RIBOSOMAL PROTEIN S6 KINASE A3	RPS6KA3	300075;300844	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED 19	XLID19
736	RPS6KA3	300075	303600	RPS6KA3	gene	6197	ENSG00000177189	Coffin-Lowry syndrome, 303600 (3)	Xp22.12	RPS6KA3	chrX	ENSG00000177189	104557	RIBOSOMAL PROTEIN S6 KINASE A3	RPS6KA3	300075;303600	COFFIN-LOWRY SYNDROME	CLS
737	RPS6KA4	603606		RPS6KA4	gene	8986	ENSG00000162302				chr11	ENSG00000162302	1930076	RIBOSOMAL PROTEIN S6 KINASE A4	RPS6KA4	603606		
738	RPS6KA5	603607		RPS6KA5	gene	9252	ENSG00000100784				chr14	ENSG00000100784	1920336	RIBOSOMAL PROTEIN S6 KINASE A5	RPS6KA5	603607		
739	RUVBL1	603449		RUVBL1	gene	8607	ENSG00000175792				chr3	ENSG00000175792	1928760	RUVB-LIKE AAA ATPase 1	RUVBL1	603449		
740	RUVBL2	604788		RUVBL2	gene	10856	ENSG00000183207				chr19	ENSG00000183207	1342299	RUVB-LIKE AAA ATPase 2	RUVBL2	604788		
741	SACM1L	606569		SACM1L	gene	22908	ENSG00000211456				chr3	ENSG00000211456	1933169	SUPPRESSOR OF ACTIN MUTATIONS 1-LIKE	SACM1L	606569		
742	SARS1	607529	617709	SARS1	gene	6301	ENSG00000031698	Neurodevelopmental disorder with microcephaly, ataxia, and seizures, 617709 (3)	1p13.3	SARS1	chr1	ENSG00000031698	102809	SERYL-tRNA SYNTHETASE 1	SARS1	607529;617709	NEURODEVELOPMENTAL DISORDER WITH MICROCEPHALY, ATAXIA, AND SEIZURES	NEDMAS
743	SCD	604031		SCD	gene	6319	ENSG00000099194				chr10	ENSG00000099194	1353437;2670997;98239;98240	STEAROYL-CoA DESATURASE	SCD	604031		
744	SCN4A	603967	168300	SCN4A	gene	6329	ENSG00000007314	Paramyotonia congenita, 168300 (3)	17q23.3	SCN4A	chr17	ENSG00000007314	98250	SODIUM VOLTAGE-GATED CHANNEL, ALPHA SUBUNIT 4	SCN4A	168300;603967	PARAMYOTONIA CONGENITA	PMC
745	SCN4A	603967	170500	SCN4A	gene	6329	ENSG00000007314	Hyperkalemic periodic paralysis, 170500 (3)	17q23.3	SCN4A	chr17	ENSG00000007314	98250	SODIUM VOLTAGE-GATED CHANNEL, ALPHA SUBUNIT 4	SCN4A	170500;603967	HYPERKALEMIC PERIODIC PARALYSIS	HYPP
746	SCN4A	603967	608390	SCN4A	gene	6329	ENSG00000007314	Myotonia congenita, atypical, acetazolamide-responsive, 608390 (3)	17q23.3	SCN4A	chr17	ENSG00000007314	98250	SODIUM VOLTAGE-GATED CHANNEL, ALPHA SUBUNIT 4	SCN4A	603967;608390	MYOTONIA, POTASSIUM-AGGRAVATED	
747	SCN4A	603967	613345	SCN4A	gene	6329	ENSG00000007314	Hypokalemic periodic paralysis, type 2, 613345 (3)	17q23.3	SCN4A	chr17	ENSG00000007314	98250	SODIUM VOLTAGE-GATED CHANNEL, ALPHA SUBUNIT 4	SCN4A	603967;613345	HYPOKALEMIC PERIODIC PARALYSIS, TYPE 2	HOKPP2
748	SCN4A	603967	614198	SCN4A	gene	6329	ENSG00000007314	Myasthenic syndrome, congenital, 16, 614198 (3)	17q23.3	SCN4A	chr17	ENSG00000007314	98250	SODIUM VOLTAGE-GATED CHANNEL, ALPHA SUBUNIT 4	SCN4A	603967;614198	MYASTHENIC SYNDROME, CONGENITAL, 16	CMS16
749	SCN4A	603967	620351	SCN4A	gene	6329	ENSG00000007314	Congenital myopathy 22A, classic, 620351 (3)	17q23.3	SCN4A	chr17	ENSG00000007314	98250	SODIUM VOLTAGE-GATED CHANNEL, ALPHA SUBUNIT 4	SCN4A	603967;620351	CONGENITAL MYOPATHY 22A, CLASSIC	CMYP22A
750	SCN4A	603967	620369	SCN4A	gene	6329	ENSG00000007314	Congenital myopathy 22B, severe fetal, 620369 (3)	17q23.3	SCN4A	chr17	ENSG00000007314	98250	SODIUM VOLTAGE-GATED CHANNEL, ALPHA SUBUNIT 4	SCN4A	603967;620369	CONGENITAL MYOPATHY 22B, SEVERE FETAL	CMYP22B
751	SCN9A	603415	133020	SCN9A	gene	6335	ENSG00000169432	Erythermalgia, primary, 133020 (3);Small fiber neuropathy, 133020 (3)	2q24.3	SCN9A	chr2	ENSG00000169432	107636	SODIUM VOLTAGE-GATED CHANNEL, ALPHA SUBUNIT 9	SCN9A	133020;603415	ERYTHERMALGIA, PRIMARY	
752	SCN9A	603415	167400	SCN9A	gene	6335	ENSG00000169432	Paroxysmal extreme pain disorder, 167400 (3)	2q24.3	SCN9A	chr2	ENSG00000169432	107636	SODIUM VOLTAGE-GATED CHANNEL, ALPHA SUBUNIT 9	SCN9A	167400;603415	PAROXYSMAL EXTREME PAIN DISORDER	PEXPD
753	SCN9A	603415	243000	SCN9A	gene	6335	ENSG00000169432	Neuropathy, hereditary sensory and autonomic, type IID, 243000 (3);Insensitivity to pain, congenital, 243000 (3)	2q24.3	SCN9A	chr2	ENSG00000169432	107636	SODIUM VOLTAGE-GATED CHANNEL, ALPHA SUBUNIT 9	SCN9A	243000;603415	INDIFFERENCE TO PAIN, CONGENITAL, AUTOSOMAL RECESSIVE	CIP
754	SELENBP1	604188	618148	SELENBP1	gene	8991	ENSG00000143416	Extraoral halitosis due to MTO deficiency, 618148 (3)	1q21.3	SELENBP1	chr1	ENSG00000143416	104859;96825	SELENIUM-BINDING PROTEIN 1	SELENBP1	604188;618148	EXTRAORAL HALITOSIS DUE TO METHANETHIOL OXIDASE DEFICIENCY	EHMTO
755	SHMT1	182144		SHMT1	gene	6470	ENSG00000176974				chr17	ENSG00000176974	98299	SERINE HYDROXYMETHYLTRANSFERASE, CYTOSOLIC	SHMT1	182144		
756	SHPK	605060	617213	SHPK	gene	23729	ENSG00000197417	[Sedoheptulokinase deficiency], 617213 (3)	17p13.2	SHPK	chr17	ENSG00000197417	1921887	SEDOHEPTULOKINASE	SHPK	605060;617213	SEDOHEPTULOKINASE DEFICIENCY	SHPKD
757	SIRT2	604480		SIRT2	gene	22933	ENSG00000068903				chr19	ENSG00000068903	1927664	SIRTUIN 2	SIRT2	604480		
758	SKP1	601434		SKP1	gene	6500	ENSG00000113558				chr5	ENSG00000113558	103575	S-PHASE KINASE-ASSOCIATED PROTEIN 1	SKP1	601434		
759	SLC11A2	600523	206100	SLC11A2	gene	4891	ENSG00000110911	Anemia, hypochromic microcytic, with iron overload 1, 206100 (3)	12q13.12	SLC11A2	chr12	ENSG00000110911	1345279	SOLUTE CARRIER FAMILY 11 (PROTON-COUPLED DIVALENT METAL ION TRANSPORTER), MEMBER 2	SLC11A2	206100;600523	ANEMIA, HYPOCHROMIC MICROCYTIC, WITH IRON OVERLOAD 1	AHMIO1
760	SLC12A2	600840	619080	SLC12A2	gene	6558	ENSG00000064651	Kilquist syndrome, 619080 (3)	5q23.3	SLC12A2	chr5	ENSG00000064651	101924	SOLUTE CARRIER FAMILY 12 (SODIUM/POTASSIUM/CHLORIDE TRANSPORTER), MEMBER 2	SLC12A2	600840;619080	KILQUIST SYNDROME	KILQS
761	SLC12A2	600840	619081	SLC12A2	gene	6558	ENSG00000064651	Deafness, autosomal dominant 78, 619081 (3)	5q23.3	SLC12A2	chr5	ENSG00000064651	101924	SOLUTE CARRIER FAMILY 12 (SODIUM/POTASSIUM/CHLORIDE TRANSPORTER), MEMBER 2	SLC12A2	600840;619081	DEAFNESS, AUTOSOMAL DOMINANT 78	DFNA78
762	SLC12A2	600840	619083	SLC12A2	gene	6558	ENSG00000064651	Delpire-McNeill syndrome, 619083 (3)	5q23.3	SLC12A2	chr5	ENSG00000064651	101924	SOLUTE CARRIER FAMILY 12 (SODIUM/POTASSIUM/CHLORIDE TRANSPORTER), MEMBER 2	SLC12A2	600840;619083	DELPIRE-MCNEILL SYNDROME	DELMNES
763	SLC12A4	604119		SLC12A4	gene	6560	ENSG00000124067				chr16	ENSG00000124067	1309465	SOLUTE CARRIER FAMILY 12 (POTASSIUM/CHLORIDE TRANSPORTER), MEMBER 4	SLC12A4	604119		
764	SLC12A6	604878	218000	SLC12A6	gene	9990	ENSG00000140199	Agenesis of the corpus callosum with peripheral neuropathy, 218000 (3)	15q14	SLC12A6	chr15	ENSG00000140199	2135960	SOLUTE CARRIER FAMILY 12 (POTASSIUM/CHLORIDE TRANSPORTER), MEMBER 6	SLC12A6	218000;604878	AGENESIS OF THE CORPUS CALLOSUM WITH PERIPHERAL NEUROPATHY	ACCPN
765	SLC12A6	604878	620068	SLC12A6	gene	9990	ENSG00000140199	Charcot-Marie-Tooth disease, axonal, type 2II, 620068 (3)	15q14	SLC12A6	chr15	ENSG00000140199	2135960	SOLUTE CARRIER FAMILY 12 (POTASSIUM/CHLORIDE TRANSPORTER), MEMBER 6	SLC12A6	604878;620068	CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2II	CMT2II
766	SLC12A7	604879		SLC12A7	gene	10723	ENSG00000113504				chr5	ENSG00000113504	1342283	SOLUTE CARRIER FAMILY 12 (POTASSIUM/CHLORIDE TRANSPORTER), MEMBER 7	SLC12A7	604879		
767	SLC14A1	613868	111000	SLC14A1	gene	6563	ENSG00000141469	[Blood group, Kidd], 111000 (3)	18q12.3	SLC14A1	chr18	ENSG00000141469	1351654	SOLUTE CARRIER FAMILY 14 (UREA TRANSPORTER), MEMBER 1	SLC14A1	111000;613868	BLOOD GROUP, KIDD SYSTEM	JK
768	SLC16A1	600682	245340	SLC16A1	gene	6566	ENSG00000155380	Erythrocyte lactate transporter defect, 245340 (3)	1p13.2	SLC16A1	chr1	ENSG00000155380	106013	SOLUTE CARRIER FAMILY 16 (MONOCARBOXYLIC ACID TRANSPORTER), MEMBER 1	SLC16A1	245340;600682	ERYTHROCYTE LACTATE TRANSPORTER DEFECT	
769	SLC16A1	600682	610021	SLC16A1	gene	6566	ENSG00000155380	Hyperinsulinemic hypoglycemia, familial, 7, 610021 (3)	1p13.2	SLC16A1	chr1	ENSG00000155380	106013	SOLUTE CARRIER FAMILY 16 (MONOCARBOXYLIC ACID TRANSPORTER), MEMBER 1	SLC16A1	600682;610021	HYPERINSULINEMIC HYPOGLYCEMIA, FAMILIAL, 7	HHF7
770	SLC16A1	600682	616095	SLC16A1	gene	6566	ENSG00000155380	Monocarboxylate transporter 1 deficiency, 616095 (3)	1p13.2	SLC16A1	chr1	ENSG00000155380	106013	SOLUTE CARRIER FAMILY 16 (MONOCARBOXYLIC ACID TRANSPORTER), MEMBER 1	SLC16A1	600682;616095	MONOCARBOXYLATE TRANSPORTER 1 DEFICIENCY	MCT1D
771	SLC16A10	607550		SLC16A10	gene	117247	ENSG00000112394				chr6	ENSG00000112394	1919722	SOLUTE CARRIER FAMILY 16 (MONOCARBOXYLIC ACID TRANSPORTER), MEMBER 10	SLC16A10	607550		
772	SLC16A7	603654		SLC16A7	gene	9194	ENSG00000118596				chr12	ENSG00000118596	1330284	SOLUTE CARRIER FAMILY 16 (MONOCARBOXYLIC ACID TRANSPORTER), MEMBER 7	SLC16A7	603654		
773	SLC17A7	605208		SLC17A7	gene	57030	ENSG00000104888				chr19	ENSG00000104888	1920211	SOLUTE CARRIER FAMILY 17 (VESICULAR GLUTAMATE COTRANSPORTER), MEMBER 7	SLC17A7	605208		
774	SLC19A1	600424	601775	SLC19A1	gene	6573	ENSG00000173638	?Megaloblastic anemia, folate-responsive, 601775 (3)	21q22.3	SLC19A1	chr21	ENSG00000173638	103182	SOLUTE CARRIER FAMILY 19 (FOLATE TRANSPORTER), MEMBER 1	SLC19A1	600424;601775	MEGALOBLASTIC ANEMIA, FOLATE-RESPONSIVE	MEGAF
775	SLC19A1	600424	620603	SLC19A1	gene	6573	ENSG00000173638	Immunodeficiency 114, folate-responsive, 620603 (3)	21q22.3	SLC19A1	chr21	ENSG00000173638	103182	SOLUTE CARRIER FAMILY 19 (FOLATE TRANSPORTER), MEMBER 1	SLC19A1	600424;620603	IMMUNODEFICIENCY 114, FOLATE-RESPONSIVE	IMD114
776	SLC19A2	603941	249270	SLC19A2	gene	10560	ENSG00000117479	Thiamine-responsive megaloblastic anemia syndrome, 249270 (3)	1q24.2	SLC19A2	chr1	ENSG00000117479	1928761	SOLUTE CARRIER FAMILY 19 (THIAMINE TRANSPORTER), MEMBER 2	SLC19A2	249270;603941	THIAMINE-RESPONSIVE MEGALOBLASTIC ANEMIA SYNDROME	TRMA
777	SLC1A1	133550	222730	SLC1A1	gene	6505	ENSG00000106688	Dicarboxylic aminoaciduria, 222730 (3)	9p24.2	SLC1A1	chr9	ENSG00000106688	105083	SOLUTE CARRIER FAMILY 1 (NEURONAL/EPITHELIAL HIGH AFFINITY GLUTAMATE TRANSPORTER), MEMBER 1	SLC1A1	133550;222730	DICARBOXYLIC AMINOACIDURIA	DCBXA
778	SLC1A1	133550	615232	SLC1A1	gene	6505	ENSG00000106688	{?Schizophrenia susceptibility 18}, 615232 (3)	9p24.2	SLC1A1	chr9	ENSG00000106688	105083	SOLUTE CARRIER FAMILY 1 (NEURONAL/EPITHELIAL HIGH AFFINITY GLUTAMATE TRANSPORTER), MEMBER 1	SLC1A1	133550;615232	SCHIZOPHRENIA 18	SCZD18
779	SLC1A4	600229	616657	SLC1A4	gene	6509	ENSG00000115902	Spastic tetraplegia, thin corpus callosum, and progressive microcephaly, 616657 (3)	2p14	SLC1A4	chr2	ENSG00000115902	2135601	SOLUTE CARRIER FAMILY 1 (GLUTAMATE/NEUTRAL AMINO ACID TRANSPORTER), MEMBER 4	SLC1A4	600229;616657	SPASTIC TETRAPLEGIA, THIN CORPUS CALLOSUM, AND PROGRESSIVE MICROCEPHALY	SPATCCM
780	SLC1A5	109190		SLC1A5	gene	6510	ENSG00000105281				chr19	ENSG00000105281	105305	SOLUTE CARRIER FAMILY 1 (NEUTRAL AMINO ACID TRANSPORTER), MEMBER 5	SLC1A5	109190		
781	SLC22A16	608276		SLC22A16	gene	85413	ENSG00000004809				chr6	ENSG00000004809	1918090	SOLUTE CARRIER FAMILY 22 (ORGANIC CATION TRANSPORTER), MEMBER 16	SLC22A16	608276		
782	SLC22A4	604190	180300	SLC22A4	gene	6583	ENSG00000197208	{Rheumatoid arthritis, susceptibility to}, 180300 (3)	5q31.1	SLC22A4	chr5	ENSG00000197208	1353479	SOLUTE CARRIER FAMILY 22 (ORGANIC CATION TRANSPORTER), MEMBER 4	SLC22A4	180300;604190	RHEUMATOID ARTHRITIS	RA
783	SLC22A7	604995		SLC22A7	gene	10864	ENSG00000137204				chr6	ENSG00000137204	1859559	SOLUTE CARRIER FAMILY 22 (ORGANIC ANION TRANSPORTER), MEMBER 7	SLC22A7	604995		
784	SLC25A3	600370	610773	SLC25A3	gene	5250	ENSG00000075415	Mitochondrial phosphate carrier deficiency, 610773 (3)	12q23.1	SLC25A3	chr12	ENSG00000075415	1353498	SOLUTE CARRIER FAMILY 25 (MITOCHONDRIAL CARRIER), MEMBER 3	SLC25A3	600370;610773	MITOCHONDRIAL PHOSPHATE CARRIER DEFICIENCY	MPCD
785	SLC25A31	610796		SLC25A31	gene	83447	ENSG00000151475				chr4	ENSG00000151475	1920583	SOLUTE CARRIER FAMILY 25 (MITOCHONDRIAL CARRIER, ADENINE NUCLEOTIDE TRANSLOCATOR), MEMBER 31	SLC25A31	610796		
786	SLC25A4	103220	609283	SLC25A4	gene	291	ENSG00000151729	Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant 2, 609283 (3)	4q35.1	SLC25A4	chr4	ENSG00000151729	1353495	SOLUTE CARRIER FAMILY 25 (MITOCHONDRIAL CARRIER, ADENINE NUCLEOTIDE TRANSLOCATOR), MEMBER 4	SLC25A4	103220;609283	PROGRESSIVE EXTERNAL OPHTHALMOPLEGIA WITH MITOCHONDRIAL DNA DELETIONS, AUTOSOMAL DOMINANT 2	PEOA2
787	SLC25A4	103220	615418	SLC25A4	gene	291	ENSG00000151729	Mitochondrial DNA depletion syndrome 12B (cardiomyopathic type) AR, 615418 (3)	4q35.1	SLC25A4	chr4	ENSG00000151729	1353495	SOLUTE CARRIER FAMILY 25 (MITOCHONDRIAL CARRIER, ADENINE NUCLEOTIDE TRANSLOCATOR), MEMBER 4	SLC25A4	103220;615418	MITOCHONDRIAL DNA DEPLETION SYNDROME 12B (CARDIOMYOPATHIC TYPE), AUTOSOMAL RECESSIVE	MTDPS12B
788	SLC25A4	103220	617184	SLC25A4	gene	291	ENSG00000151729	Mitochondrial DNA depletion syndrome 12A (cardiomyopathic type) AD, 617184 (3)	4q35.1	SLC25A4	chr4	ENSG00000151729	1353495	SOLUTE CARRIER FAMILY 25 (MITOCHONDRIAL CARRIER, ADENINE NUCLEOTIDE TRANSLOCATOR), MEMBER 4	SLC25A4	103220;617184	MITOCHONDRIAL DNA DEPLETION SYNDROME 12A (CARDIOMYOPATHIC TYPE), AUTOSOMAL DOMINANT	MTDPS12A
789	SLC25A5	300150		SLC25A5	gene	292	ENSG00000005022				chrX	ENSG00000005022	1353496	SOLUTE CARRIER FAMILY 25 (MITOCHONDRIAL CARRIER, ADENINE NUCLEOTIDE TRANSLOCATOR), MEMBER A5	SLC25A5	300150		
790	SLC25A6	300151		SLC25A6	gene	293	ENSG00000169100				chrX	ENSG00000169100		SOLUTE CARRIER FAMILY 25 (MITOCHONDRIAL CARRIER, ADENINE NUCLEOTIDE TRANSLOCATOR), MEMBER A6	SLC25A6	300151		
791	SLC25A6	403000		SLC25A6	gene	293	ENSG00000169100				chrY	ENSG00000169100		SOLUTE CARRIER FAMILY 25 (MITOCHONDRIAL CARRIER, ADENINE NUCLEOTIDE TRANSLOCATOR), MEMBER A6, Y-CHROMOSOMAL	SLC25A6	403000		
792	SLC26A6	610068		SLC26A6	gene	65010	ENSG00000225697				chr3	ENSG00000225697	2159728	SOLUTE CARRIER FAMILY 26 (ANION TRANSPORTER), MEMBER 6: SLC26A6		610068		
793	SLC27A2	603247		SLC27A2	gene	11001	ENSG00000140284				chr15	ENSG00000140284	1347099	SOLUTE CARRIER FAMILY 27 (FATTY ACID TRANSPORTER), MEMBER 2	SLC27A2	603247		
794	SLC27A4	604194	608649	SLC27A4	gene	10999	ENSG00000167114	Ichthyosis prematurity syndrome, 608649 (3)	9q34.11	SLC27A4	chr9	ENSG00000167114	1347347	SOLUTE CARRIER FAMILY 27 (FATTY ACID TRANSPORTER), MEMBER 4	SLC27A4	604194;608649	ICHTHYOSIS PREMATURITY SYNDROME	IPS
795	SLC29A1	602193		SLC29A1	gene	2030	ENSG00000112759				chr6	ENSG00000112759	1927073	SOLUTE CARRIER FAMILY 29 (NUCLEOSIDE TRANSPORTER), MEMBER 1	SLC29A1	602193		
796	SLC2A1	138140	601042	SLC2A1	gene	6513	ENSG00000117394	Dystonia 9, 601042 (3)	1p34.2	SLC2A1	chr1	ENSG00000117394	95755	SOLUTE CARRIER FAMILY 2 (FACILITATED GLUCOSE TRANSPORTER), MEMBER 1	SLC2A1	138140;601042	DYSTONIA 9	DYT9
797	SLC2A1	138140	606777	SLC2A1	gene	6513	ENSG00000117394	GLUT1 deficiency syndrome 1, infantile onset, severe, 606777 (3)	1p34.2	SLC2A1	chr1	ENSG00000117394	95755	SOLUTE CARRIER FAMILY 2 (FACILITATED GLUCOSE TRANSPORTER), MEMBER 1	SLC2A1	138140;606777	GLUT1 DEFICIENCY SYNDROME 1	GLUT1DS1
798	SLC2A1	138140	608885	SLC2A1	gene	6513	ENSG00000117394	Stomatin-deficient cryohydrocytosis with neurologic defects, 608885 (3)	1p34.2	SLC2A1	chr1	ENSG00000117394	95755	SOLUTE CARRIER FAMILY 2 (FACILITATED GLUCOSE TRANSPORTER), MEMBER 1	SLC2A1	138140;608885	STOMATIN-DEFICIENT CRYOHYDROCYTOSIS WITH NEUROLOGIC DEFECTS	SDCHCN
799	SLC2A1	138140	612126	SLC2A1	gene	6513	ENSG00000117394	GLUT1 deficiency syndrome 2, childhood onset, 612126 (3)	1p34.2	SLC2A1	chr1	ENSG00000117394	95755	SOLUTE CARRIER FAMILY 2 (FACILITATED GLUCOSE TRANSPORTER), MEMBER 1	SLC2A1	138140;612126	GLUT1 DEFICIENCY SYNDROME 2	GLUT1DS2
800	SLC2A1	138140	614847	SLC2A1	gene	6513	ENSG00000117394	{Epilepsy, idiopathic generalized, susceptibility to, 12}, 614847 (3)	1p34.2	SLC2A1	chr1	ENSG00000117394	95755	SOLUTE CARRIER FAMILY 2 (FACILITATED GLUCOSE TRANSPORTER), MEMBER 1	SLC2A1	138140;614847	EPILEPSY, IDIOPATHIC GENERALIZED, SUSCEPTIBILITY TO, 12	EIG12
801	SLC2A14	611039		SLC2A14	gene	144195	ENSG00000173262				chr12	ENSG00000173262	95757	SOLUTE CARRIER FAMILY 2 (FACILITATED GLUCOSE TRANSPORTER), MEMBER 14	SLC2A14	611039		
802	SLC2A2	138160	125853	SLC2A2	gene	6514	ENSG00000163581	{Diabetes mellitus, noninsulin-dependent}, 125853 (3)	3q26.2	SLC2A2	chr3	ENSG00000163581	1095438	SOLUTE CARRIER FAMILY 2 (FACILITATED GLUCOSE TRANSPORTER), MEMBER 2	SLC2A2	125853;138160	TYPE 2 DIABETES MELLITUS	T2D
803	SLC2A2	138160	227810	SLC2A2	gene	6514	ENSG00000163581	Fanconi-Bickel syndrome, 227810 (3)	3q26.2	SLC2A2	chr3	ENSG00000163581	1095438	SOLUTE CARRIER FAMILY 2 (FACILITATED GLUCOSE TRANSPORTER), MEMBER 2	SLC2A2	138160;227810	FANCONI-BICKEL SYNDROME	FBS
804	SLC2A3	138170		SLC2A3	gene	6515	ENSG00000059804				chr12	ENSG00000059804	95757	SOLUTE CARRIER FAMILY 2 (FACILITATED GLUCOSE TRANSPORTER), MEMBER 3	SLC2A3	138170		
805	SLC2A4	138190		SLC2A4	gene	6517	ENSG00000181856				chr17	ENSG00000181856	95758	SOLUTE CARRIER FAMILY 2 (FACILITATED GLUCOSE TRANSPORTER), MEMBER 4	SLC2A4	138190		
806	SLC2A5	138230		SLC2A5	gene	6518	ENSG00000142583				chr1	ENSG00000142583	1928369	SOLUTE CARRIER FAMILY 2 (FACILITATED GLUCOSE/FRUCTOSE TRANSPORTER), MEMBER 5	SLC2A5	138230		
807	SLC30A1	609521		SLC30A1	gene	7779	ENSG00000170385				chr1	ENSG00000170385	1345281	SOLUTE CARRIER FAMILY 30 (ZINC TRANSPORTER), MEMBER 1	SLC30A1	609521		
