	Entry	Gene Names (primary)	Organism (ID)	Alternative products (isoforms)	EC number	Rhea ID	UniParc	Gene Ontology IDs	Chain	PubMed ID	CCDS	EMBL	RefSeq	BMRB	PDB	SASBDB	SMR	BioGRID	CORUM	ComplexPortal	DIP	ELM	IntAct	MINT	STRING	BindingDB	ChEMBL	DrugBank	DrugCentral	GuidetoPHARMACOLOGY	SwissLipids	Allergome	CAZy	IDEAL	MEROPS	PeroxiBase	REBASE	TCDB	DEPOD	PhosphoSitePlus	dbSNP	COMPLUYEAST-2DPAGE	EPD	MassIVE	MaxQB	PRIDE	PaxDb	PeptideAtlas	ProteomicsDB	Ensembl	EnsemblBacteria	EnsemblFungi	EnsemblMetazoa	EnsemblPlants	EnsemblProtists	GeneID	Gramene	KEGG	VectorBase	WBParaSite	ArachnoServer	CGD	ConoServer	CTD	dictyBase	EchoBASE	GeneCards	HGNC	HPA	MGI	MIM	neXtProt	Orphanet	PharmGKB	PomBase	RGD	SGD	TAIR	TubercuList	VGNC	WormBase	Xenbase	ZFIN	eggNOG	GeneTree	HOGENOM	OMA	OrthoDB	PhylomeDB	TreeFam	BioCyc	BRENDA	PathwayCommons	Reactome	SIGNOR	GeneWiki	Bgee	ExpressionAtlas	CDD	DisProt	HAMAP	InterPro	PANTHER	Pfam	PIRSF	PRINTS	PROSITE	SMART	SUPFAM
10	O14735	CDIPT	9606	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=3; Name=1; IsoId=O14735-1; Sequence=Displayed; Name=2; IsoId=O14735-2; Sequence=VSP_013618, VSP_013619, VSP_013620; Name=3; IsoId=O14735-3; Sequence=VSP_054767;	2.7.8.11	RHEA:11580	UPI0000131B1C	GO:0003881; GO:0005789; GO:0005794; GO:0005886; GO:0006661; GO:0016020; GO:0046872	"CHAIN 1..213; /note=""CDP-diacylglycerol--inositol 3-phosphatidyltransferase""; /id=""PRO_0000056802"""	9407135; 14702039; 15616553; 15489334; 8110188; 21269460	CCDS10657.1 [O14735-1];CCDS67002.1 [O14735-3];	AF014807;BT007301;AK131349;AK300805;CR542016;AC120114;BC001444;	NP_001273514.1 [O14735-3];NP_006310.1 [O14735-1];				O14735;	115692;			DIP-54492N;		O14735;	O14735;	9606.ENSP00000219789;			DB03106;			SLP:000000533;									O14735;	rs1802002		O14735;	O14735;	O14735;		9606-ENSP00000219789;	O14735;	42746;48197 [O14735-1];48198 [O14735-2];	ENST00000219789.11 [O14735-1];ENST00000566113.5 [O14735-3];ENST00000569956.5 [O14735-1];ENST00000570016.5 [O14735-1];						10423;		hsa:10423;						10423;			CDIPT;	HGNC:1769;	ENSG00000103502;		605893;	NX_O14735;		PA26306;										KOG3240;	ENSGT00940000154169;	CLU_067602_2_0_1;	FWFQLSM;	5472855at2759;	O14735;	TF314603;	MetaCyc:HS02513-MONOMER;	2.7.8.11;	O14735;	R-HSA-1483226;		CDIPT;	ENSG00000103502;	O14735;				IPR000462;IPR043130;IPR048254;IPR014387;	PTHR15362:SF4;PTHR15362;	PF01066;	PIRSF000848;		PS00379;
11	O14744	PRMT5	9606	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=5; Comment=Additional isoforms seems to exist. According to EST sequences.; Name=1; IsoId=O14744-1; Sequence=Displayed; Name=2; IsoId=O14744-2; Sequence=VSP_043382; Name=4; IsoId=O14744-4; Sequence=VSP_043382, VSP_054768; Name=5; IsoId=O14744-5; Sequence=VSP_054685; Name=3; IsoId=O14744-3; Sequence=VSP_043382, VSP_054685;	2.1.1.320	RHEA:48108	UPI000006F09F	GO:0000387; GO:0000785; GO:0002039; GO:0003714; GO:0005634; GO:0005654; GO:0005737; GO:0005794; GO:0005829; GO:0006338; GO:0006353; GO:0006355; GO:0007088; GO:0008168; GO:0008327; GO:0008469; GO:0016274; GO:0018216; GO:0032922; GO:0034709; GO:0035097; GO:0035243; GO:0035246; GO:0042054; GO:0042118; GO:0042802; GO:0043021; GO:0044020; GO:0044030; GO:0045596; GO:0046982; GO:0048026; GO:0048714; GO:0070372; GO:0070888; GO:0090161; GO:0097421; GO:0140938; GO:1901796; GO:1904992	"CHAIN 1..637; /note=""Protein arginine N-methyltransferase 5""; /id=""PRO_0000212342""; CHAIN 2..637; /note=""Protein arginine N-methyltransferase 5, N-terminally processed""; /id=""PRO_0000417602"""	9556550; 9843966; 10531356; 14702039; 19054851; 12508121; 15489334; 21917714; 12665801; 12411503; 15737618; 16087681; 10734105; 11152681; 11747828; 12101096; 12718890; 15485929; 16428440; 17184735; 17709427; 18984161; 18404153; 19011621; 19413330; 20421892; 20159986; 20810653; 21269460; 21081503; 21258366; 22269951; 22223895; 22814378; 25284789; 25092918; 26700805; 33376131; 23071334	CCDS41922.1 [O14744-2];CCDS61394.1 [O14744-3];CCDS61395.1 [O14744-4];CCDS61396.1 [O14744-5];CCDS9579.1 [O14744-1];	AF015913;AF167572;AK075251;AK301812;AK302240;CR456741;AB451246;AB451370;AL132780;CH471078;CH471078;CH471078;CH471078;BC005820;BC025979;	NP_001034708.1 [O14744-2];NP_001269882.1 [O14744-3];NP_001269884.1 [O14744-5];NP_001269885.1 [O14744-4];NP_006100.2 [O14744-1];		4GQB;4X60;4X61;4X63;5C9Z;5EMJ;5EMK;5EML;5EMM;5FA5;6CKC;6K1S;6RLL;6RLQ;6UGH;6UXX;6UXY;6V0N;6V0O;6V0P;7BO7;7BOC;7KIB;7KIC;7KID;7L1G;7M05;7MX7;7MXA;7MXC;7MXG;7MXN;7S0U;7S1P;7S1Q;7S1R;7S1S;7SER;7SES;7U30;7UOH;7UY1;7UYF;7ZUP;7ZUQ;7ZUU;7ZUY;7ZV2;7ZVL;7ZVU;8CSG;8CTB;8CYI;8G1U;		O14744;	115688;	O14744;	CPX-696;	DIP-33172N;		O14744;	O14744;	9606.ENSP00000319169;	O14744;	CHEMBL1795116;			1256;				IID00405;						O14744;			O14744;	O14744;	O14744;		9606-ENSP00000319169;	O14744;	2039;48200 [O14744-1];48201 [O14744-2];5410;	ENST00000216350.12 [O14744-3];ENST00000324366.13 [O14744-1];ENST00000397440.8 [O14744-4];ENST00000397441.6 [O14744-2];ENST00000553897.5 [O14744-5];						10419;		hsa:10419;						10419;			PRMT5;	HGNC:10894;	ENSG00000100462;		604045;	NX_O14744;		PA35794;										KOG0822;	ENSGT00390000001141;	CLU_010247_3_0_1;	WEFSHPI;	5489665at2759;	O14744;	TF300626;	MetaCyc:HS02092-MONOMER;	2.1.1.320;	O14744;	R-HSA-191859;R-HSA-3214858;R-HSA-6804760;	O14744;	Protein_arginine_methyltransferase_5;	ENSG00000100462;	O14744;	cd02440;			IPR025799;IPR007857;IPR035075;IPR035248;IPR035247;IPR029063;	PTHR10738;PTHR10738:SF0;	PF05185;PF17286;PF17285;	PIRSF015894;		PS51678;		SSF53335;
12	O14975	SLC27A2	9606	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=2; Name=1; Synonyms=FATP2a {ECO:0000303|PubMed:21768100}; IsoId=O14975-1; Sequence=Displayed; Name=2; Synonyms=FATP2b {ECO:0000303|PubMed:21768100}; IsoId=O14975-2; Sequence=VSP_042726;	6.2.1.-; 6.2.1.15; 6.2.1.24; 6.2.1.3; 6.2.1.7	RHEA:38879 RHEA:33655 RHEA:38879 RHEA:15421 RHEA:19713 RHEA:30751 RHEA:33607 RHEA:21380 RHEA:44936 RHEA:47264 RHEA:36139 RHEA:54536 RHEA:33639 RHEA:44932 RHEA:22976	UPI000013D776	GO:0001561; GO:0001676; GO:0004467; GO:0005324; GO:0005524; GO:0005778; GO:0005783; GO:0005788; GO:0005789; GO:0005829; GO:0005886; GO:0006635; GO:0006699; GO:0015245; GO:0019899; GO:0031957; GO:0035579; GO:0042760; GO:0044539; GO:0046949; GO:0047676; GO:0047747; GO:0050197; GO:0070062; GO:0070251; GO:0097089; GO:1901480	"CHAIN 1..620; /note=""Long-chain fatty acid transport protein 2""; /id=""PRO_0000193204"""	10198260; 14702039; 16572171; 15489334; 10640429; 10749848; 11980911; 18669648; 20530735; 20068231; 22022213; 21269460; 21768100; 24269233; 23186163; 24275569	CCDS10133.1 [O14975-1];CCDS53943.1 [O14975-2];	D88308;AF096290;AK223145;AK290262;AC009753;CH471082;BC057770;	NP_001153101.1 [O14975-2];NP_003636.2 [O14975-1];				O14975;	116194;					O14975;	O14975;	9606.ENSP00000267842;	O14975;	CHEMBL4326;	DB11936;			SLP:000000428;SLP:000000431 [O14975-2];SLP:000000432 [O14975-1];							4.C.1.1.5;		O14975;	rs1648348		O14975;	O14975;	O14975;		9606-ENSP00000267842;	O14975;	48348 [O14975-1];48349 [O14975-2];	ENST00000267842.10 [O14975-1];ENST00000380902.8 [O14975-2];						11001;		hsa:11001;						11001;			SLC27A2;	HGNC:10996;	ENSG00000140284;		603247;	NX_O14975;		PA27971;										KOG1179;	ENSGT00940000161137;	CLU_000022_46_2_1;	LQYVGEL;	1650656at2759;	O14975;	TF313430;	MetaCyc:HS06695-MONOMER;		O14975;	R-HSA-193368;R-HSA-193775;R-HSA-389599;R-HSA-6798695;R-HSA-75105;R-HSA-9033241;	O14975;	SLC27A2;	ENSG00000140284;	O14975;	cd05938;			IPR025110;IPR045851;IPR020845;IPR000873;IPR042099;	PTHR43107;PTHR43107:SF13;	PF00501;PF13193;			PS00455;		SSF56801;
13	O15067	PFAS	9606	ALTERNATIVE PRODUCTS:  	6.3.5.3	RHEA:17129	UPI00001A95E5	GO:0004642; GO:0005524; GO:0005737; GO:0005829; GO:0006164; GO:0006177; GO:0006189; GO:0006541; GO:0009168; GO:0009410; GO:0044208; GO:0046872; GO:0070062; GO:0097065; GO:0097294	"CHAIN 1..1338; /note=""Phosphoribosylformylglycinamidine synthase""; /id=""PRO_0000100401"""	10548741; 9205841; 16625196; 15489334; 17081983; 19690332; 20068231; 21269460; 21406692; 23186163; 24275569; 19413330	CCDS11136.1;	AB002359;AC135178;BC146768;BC167158;	NP_036525.1;				O15067;	111221;					O15067;	O15067;	9606.ENSP00000313490;		CHEMBL4295655;	DB00142;DB00130;							C56.972;					O15067;	rs9891699 rs4791641 rs35217368 rs11078738		O15067;	O15067;	O15067;		9606-ENSP00000313490;	O15067;	48417;	ENST00000314666.11;						5198;		hsa:5198;						5198;			PFAS;	HGNC:8863;	ENSG00000178921;		602133;	NX_O15067;												KOG1907;	ENSGT00390000007600;	CLU_001031_0_0_1;	LSANWMW;	2891567at2759;	O15067;	TF106371;	MetaCyc:HS11329-MONOMER;	6.3.5.3;	O15067;	R-HSA-73817;	O15067;		ENSG00000178921;	O15067;	cd01740;cd02203;cd02204;		MF_00419;	IPR029062;IPR040707;IPR010073;IPR041609;IPR010918;IPR036676;IPR036921;IPR036604;	PTHR10099;PTHR10099:SF1;	PF02769;PF18072;PF18076;PF13507;			PS51273;	SM01211;	SSF52317;SSF109736;SSF56042;SSF55326;SSF82697;
14	O15162	PLSCR1	9606	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=2; Name=1; IsoId=O15162-1; Sequence=Displayed; Name=2; IsoId=O15162-2; Sequence=VSP_055237, VSP_055238;	3.1.-.-	RHEA:38571 RHEA:38895 RHEA:38663	UPI0000001627	GO:0000287; GO:0001228; GO:0001618; GO:0003677; GO:0004518; GO:0005154; GO:0005509; GO:0005634; GO:0005654; GO:0005730; GO:0005737; GO:0005794; GO:0005829; GO:0005886; GO:0006659; GO:0006915; GO:0006953; GO:0008270; GO:0010288; GO:0010628; GO:0016020; GO:0017121; GO:0017124; GO:0017128; GO:0019899; GO:0030168; GO:0032791; GO:0033003; GO:0035456; GO:0042609; GO:0045071; GO:0045089; GO:0045121; GO:0045340; GO:0045944; GO:0048471; GO:0050765; GO:0051607; GO:0060368; GO:0062023; GO:0070062; GO:0070782; GO:1905820; GO:2000373	"CHAIN 1..318; /note=""Phospholipid scramblase 1""; /id=""PRO_0000100784"""	9218461; 9712717; 10930526; 14702039; 16641997; 15489334; 8663431; 10770950; 11390389; 9572851; 9485382; 12564925; 15308695; 16091359; 17567603; 18629440; 21269460; 21806988; 22789739; 22052202; 23501106; 23659204; 23590222; 24648509; 24343571; 24275569; 25365352; 27206388; 26745724; 29748552; 29352288; 31434743; 32110987; 35138119; 35595813; 37438530; 15611084	CCDS3135.1 [O15162-1];CCDS87152.1 [O15162-2];	AF098642;AB006746;AF224492;AK300181;AC069528;AC116544;AK313377;CH471052;BC021100;BC032718;	NP_066928.1 [O15162-1];XP_005247595.1;XP_011511206.1;XP_011511208.1;XP_011511209.1;XP_016862118.1;		1Y2A;		O15162;	111373;					O15162;	O15162;	9606.ENSP00000345494;						SLP:000000332;			IID00006;				9.A.36.1.1;		O15162;	rs343320		O15162;	O15162;	O15162;		9606-ENSP00000345494;	O15162;	48483 [O15162-1];5105;	ENST00000342435.9 [O15162-1];ENST00000448787.6 [O15162-2];						5359;		hsa:5359;						5359;			PLSCR1;	HGNC:9092;	ENSG00000188313;		604170;	NX_O15162;		PA33419;										KOG0621;	ENSGT00940000154435;		QNWHLWR;	4390at2759;	O15162;	TF314939;		7.6.2.1;	O15162;		O15162;	PLSCR1;	ENSG00000188313;	O15162;				IPR005552;	PTHR23248:SF38;PTHR23248;	PF03803;
15	O15247	CLIC2	9606	ALTERNATIVE PRODUCTS:  			UPI0000169FC8	GO:0004602; GO:0005254; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0005886; GO:0006821; GO:0007165; GO:0010880; GO:0010881; GO:0016020; GO:0034707; GO:0051099; GO:0060315	"CHAIN 1..247; /note=""Chloride intracellular channel protein 2""; /id=""PRO_0000144205"""	9339381; 14702039; 15772651; 15489334; 12681486; 15147738; 15916532; 21269460; 22814392; 24275569; 17945253; 18186468	CCDS14767.1;	Y12696;AJ000217;AJ000218;AJ000219;AK292785;AL356738;CH471172;BC022305;	NP_001280.3;		2PER;2R4V;2R5G;		O15247;	107605;					O15247;		9606.ENSP00000358460;													1.A.12.1.5;		O15247;	rs398122917		O15247;	O15247;	O15247;		9606-ENSP00000358460;	O15247;	48540;	ENST00000369449.7;						1193;		hsa:1193;						1193;			CLIC2;	HGNC:2063;	ENSG00000155962;		300138;300886;	NX_O15247;	324410;	PA26589;										KOG1422;	ENSGT00940000161397;	CLU_061051_1_0_1;	EIEHTYA;	103277at2759;	O15247;	TF315438;			O15247;	R-HSA-2672351;R-HSA-5578775;	O15247;	CLIC2;	ENSG00000155962;	O15247;	cd10298;cd03061;			IPR002946;IPR010987;IPR036282;IPR040079;IPR004045;IPR030253;IPR036249;	PTHR45476:SF3;PTHR45476;	PF13410;PF13409;		PR01263;	PS50405;		SSF47616;SSF52833;
16	O15294	OGT	9606	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=4; Name=3; Synonyms=Nucleocytoplasmic isoform {ECO:0000303|PubMed:31527085}, ncOGT {ECO:0000303|PubMed:31527085}; IsoId=O15294-1; Sequence=Displayed; Name=2; Synonyms=Mitochondrial isoform {ECO:0000303|PubMed:20824293}, mOGT {ECO:0000303|PubMed:20824293}; IsoId=O15294-2; Sequence=VSP_006553; Name=1; IsoId=O15294-3; Sequence=VSP_014164; Name=4; Synonyms=Short isoform {ECO:0000303|PubMed:31527085}, sOGT {ECO:0000303|PubMed:31527085}; IsoId=O15294-4; Sequence=VSP_040764;	2.4.1.255	RHEA:48904 RHEA:48908 RHEA:48904 RHEA:48908	UPI0000073C9F	GO:0000122; GO:0000123; GO:0000423; GO:0000432; GO:0005547; GO:0005634; GO:0005654; GO:0005829; GO:0005886; GO:0006110; GO:0006111; GO:0006325; GO:0006357; GO:0006493; GO:0006915; GO:0007165; GO:0007584; GO:0008375; GO:0016485; GO:0016580; GO:0017122; GO:0030097; GO:0030336; GO:0030512; GO:0031397; GO:0031490; GO:0031966; GO:0032435; GO:0032868; GO:0032922; GO:0032991; GO:0035020; GO:0042995; GO:0044545; GO:0045727; GO:0045862; GO:0045893; GO:0045944; GO:0046626; GO:0046889; GO:0051571; GO:0051963; GO:0060544; GO:0071333; GO:0097363; GO:0098696; GO:0098978; GO:0120162; GO:1902455; GO:1902459; GO:1904263	"CHAIN 2..1046; /note=""UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit""; /id=""PRO_0000191772"""	9083068; 11773972; 17974005; 15489334; 12150998; 12670868; 18669648; 19413330; 19451179; 19073609; 19377461; 24336203; 20018852; 20018868; 20200153; 20824293; 21269460; 22121020; 21285374; 22814378; 22923583; 23353889; 23629655; 23186163; 23222540; 24995978; 24563466; 24474760; 26678539; 26369908; 27527864; 27713473; 28742148; 30699359; 31527085; 34074792; 34667079; 37541260; 15361863; 21240259; 23103939; 26273451; 28302723; 28584052	CCDS14414.1 [O15294-1];CCDS35502.1 [O15294-3];	U77413;AJ315767;AJ315767;AJ315767;AL050366;AL833085;BX537844;BC014434;BC038180;	NP_858058.1 [O15294-1];NP_858059.1 [O15294-3];XP_016885396.1;XP_016885397.1;		1W3B;3PE3;3PE4;3TAX;4AY5;4AY6;4CDR;4GYW;4GYY;4GZ3;4GZ5;4GZ6;4N39;4N3A;4N3B;4N3C;4XI9;4XIF;5BNW;5C1D;5HGV;5LVV;5LWV;5NPR;5NPS;5VIE;5VIF;6E37;6EOU;6IBO;6MA1;6MA2;6MA3;6MA4;6MA5;6Q4M;6TKA;7NTF;7YEA;7YEH;8CM9;8FE6;8FE7;8FUF;		O15294;	114049;	O15294;	CPX-3323;CPX-809;	DIP-33491N;		O15294;	O15294;	9606.ENSP00000362824;	O15294;	CHEMBL5955;						GT41;							O15294;	rs1131692155 rs1114167891 rs1602147851		O15294;	O15294;	O15294;		9606-ENSP00000362824;	O15294;	48562 [O15294-1];48563 [O15294-2];48564 [O15294-3];48565 [O15294-4];	ENST00000373701.7 [O15294-3];ENST00000373719.8 [O15294-1];						8473;		hsa:8473;						8473;			OGT;	HGNC:8127;	ENSG00000147162;		300255;300997;	NX_O15294;		PA31914;										KOG1124;KOG4626;	ENSGT00940000155085;	CLU_001721_1_0_1;	HAYSEKL;	34780at2759;	O15294;	TF105785;	MetaCyc:ENSG00000147162-MONOMER;	2.4.1.255;	O15294;	R-HSA-3214847;R-HSA-5213460;R-HSA-5675482;R-HSA-5689603;R-HSA-9772755;	O15294;	OGT_(gene);	ENSG00000147162;	O15294;				IPR037919;IPR029489;IPR011990;IPR001440;IPR019734;	PTHR44366;PTHR44366:SF1;	PF13844;PF00515;PF13414;PF13424;PF13181;			PS50005;PS50293;	SM00028;	SSF48452;
17	O15305	PMM2	9606	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=2; Name=1; IsoId=O15305-1; Sequence=Displayed; Name=2; IsoId=O15305-2; Sequence=VSP_056228, VSP_056229;	5.4.2.8	RHEA:11140	UPI00000302B7	GO:0004615; GO:0005654; GO:0005829; GO:0006013; GO:0006486; GO:0006487; GO:0009298; GO:0043025; GO:0046872	"CHAIN 2..246; /note=""Phosphomannomutase 2""; /id=""PRO_0000199694"""	9140401; 9425221; 14702039; 15616553; 15489334; 16540464; 21269460; 22223895; 22814378; 24275569; 17850744; 10527672; 9497260; 9781039; 10066032; 10602363; 10571956; 11058895; 11058896; 10801058; 11350185; 12357336; 15844218; 17307006	CCDS10536.1 [O15305-1];	U85773;AF157796;AF157790;AF157791;AF157792;AF157793;AF157794;AF157795;AK291537;AK300785;AC012173;CH471112;CH471112;CH471112;CH471112;BC008310;	NP_000294.1 [O15305-1];		2AMY;2Q4R;7O0C;7O1B;7O4G;7O58;7O5Z;		O15305;	111386;					O15305;	O15305;	9606.ENSP00000268261;	O15305;	CHEMBL1741162;													O15305;	rs104894532 rs949271895 rs104894533 rs2304472 rs755402538 rs104894534 rs104894527 rs1318611010 rs769648248 rs1440183322 rs769839273 rs770458492 rs387906824 rs200503569 rs80338700 rs104894530 rs80338701 rs368582085 rs141498002 rs104894525 rs1274547742 rs753632453 rs80338702 rs80338703 rs746610168 rs28936415 rs150719105 rs148032587 rs150577656 rs190521996 rs104894526 rs941830625 rs780581250 rs1386173214 rs80338704 rs1596489887 rs34258285 rs398123309 rs3743808 rs1555453238 rs78290141 rs78290141 rs752614554 rs80338705 rs104894531 rs201960869 rs80338706 rs558826439 rs558826439 rs398123311 rs80338707 rs80338708 rs80338708 rs151319324 rs80338709		O15305;	O15305;	O15305;		9606-ENSP00000268261;	O15305;	48574 [O15305-1];6798;	ENST00000268261.9 [O15305-1];ENST00000566604.5 [O15305-2];ENST00000683274.1 [O15305-2];						5373;		hsa:5373;						5373;			PMM2;	HGNC:9115;	ENSG00000140650;		212065;601785;	NX_O15305;	79318;	PA33441;										KOG3189;	ENSGT00390000002918;	CLU_065642_1_1_1;	ISHRVYT;	167037at2759;	O15305;	TF300874;		5.4.2.8;	O15305;	R-HSA-4043911;R-HSA-446205;		PMM2;	ENSG00000140650;	O15305;	cd02585;			IPR036412;IPR006379;IPR023214;IPR005002;IPR043169;	PTHR10466;PTHR10466:SF2;	PF03332;					SSF56784;
18	O15431	SLC31A1	9606	ALTERNATIVE PRODUCTS:  		RHEA:75207 RHEA:75211	UPI0000127EC2	GO:0001525; GO:0005375; GO:0005507; GO:0005886; GO:0006825; GO:0006878; GO:0014704; GO:0015080; GO:0015677; GO:0015679; GO:0016323; GO:0016324; GO:0031901; GO:0031902; GO:0036324; GO:0042802; GO:0042908; GO:0042910; GO:0051259; GO:0051649; GO:0055038; GO:1902601	"CHAIN 1..190; /note=""High affinity copper uptake protein 1""; /id=""PRO_0000195040""; CHAIN 43..190; /note=""Truncated CTR1 form""; /evidence=""ECO:0000269|PubMed:24167251""; /id=""PRO_0000458008"""	9207117; 14702039; 17974005; 15164053; 15489334; 12023893; 11734551; 15326162; 16135512; 17525160; 19740744; 20451502; 20569931; 23658018; 23186163; 24167251; 24837030; 26205368; 26745413; 27143361; 26945057; 30489586; 31292775; 32914794; 33294387; 35027734; 35601835; 16501047; 22615137; 35913762; 36562171	CCDS6789.1;	U83460;AK222866;AK292511;AL831843;AL449305;CH471090;BC013611;	NP_001850.1;	O15431;	2LS2;2LS3;2LS4;		O15431;	107712;			DIP-48727N;		O15431;		9606.ENSP00000363329;			DB00958;DB00515;DB09130;DB00526;										1.A.56.1.2;		O15431;	rs2233915		O15431;	O15431;	O15431;		9606-ENSP00000363329;	O15431;	48657;	ENST00000374212.5;						1317;		hsa:1317;						1317;			SLC31A1;	HGNC:11016;	ENSG00000136868;		603085;620306;	NX_O15431;		PA118;										KOG3386;	ENSGT00940000155147;	CLU_079690_2_0_1;	GPKCNMN;	3399710at2759;	O15431;	TF315142;		7.2.2.8;	O15431;	R-HSA-425410;		SLC31A1;	ENSG00000136868;	O15431;				IPR007274;	PTHR12483:SF22;PTHR12483;	PF04145;
19	O15439	ABCC4	9606	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=4; Name=1; IsoId=O15439-1; Sequence=Displayed; Name=2; IsoId=O15439-2; Sequence=VSP_035426; Name=3; IsoId=O15439-3; Sequence=VSP_043283, VSP_043284; Name=4; IsoId=O15439-4; Sequence=VSP_057413, VSP_043283, VSP_043284;	7.6.2.-; 7.6.2.2; 7.6.2.3	RHEA:19121 RHEA:60128 RHEA:61364 RHEA:38963 RHEA:66424 RHEA:16461 RHEA:66188 RHEA:66184 RHEA:66388 RHEA:66392 RHEA:66380 RHEA:66396 RHEA:66400 RHEA:66404 RHEA:66408 RHEA:66412 RHEA:66416 RHEA:66420	UPI00001A36E6	GO:0001409; GO:0002576; GO:0005524; GO:0005730; GO:0005794; GO:0005886; GO:0006805; GO:0006855; GO:0008559; GO:0015132; GO:0015143; GO:0015216; GO:0015431; GO:0015432; GO:0015562; GO:0015721; GO:0015732; GO:0015747; GO:0016020; GO:0016323; GO:0016324; GO:0016404; GO:0016887; GO:0031088; GO:0032310; GO:0034634; GO:0042626; GO:0042910; GO:0043225; GO:0055085; GO:0060271; GO:0070730; GO:0071716; GO:0098591; GO:0140115; GO:0140359; GO:0150104	"CHAIN 1..1325; /note=""ATP-binding cassette sub-family C member 4""; /id=""PRO_0000093362"""	9661885; 12105214; 14702039; 15057823; 15489334; 9270026; 11106685; 11856762; 12883481; 12523936; 12835412; 15364914; 15454390; 16282361; 17344354; 17959747; 17081983; 18669648; 19690332; 20068231; 21269460; 22411990; 23186163; 18300232; 26721430; 20547088	CCDS45061.1 [O15439-3];CCDS76643.1 [O15439-4];CCDS86356.1 [O15439-2];CCDS9474.1 [O15439-1];	AF071202;AY081219;AY207008;AF541977;AK296247;AL139381;AL157818;AL356257;AL359750;CH471085;CH471085;BC041560;U83660;	NP_001098985.1 [O15439-3];NP_001288758.1 [O15439-2];NP_001288759.1 [O15439-4];NP_005836.2 [O15439-1];		8BJF;8BWO;8BWP;8BWQ;8BWR;8I4A;8I4B;8I4C;8J3W;8J3Z;		O15439;	115551;					O15439;	O15439;	9606.ENSP00000494609;	O15439;	CHEMBL1743128;	DB00718;DB00770;DB01076;DB00171;DB01327;DB00482;DB02659;DB00286;DB02527;DB09213;DB00586;DB00917;DB00975;DB13146;DB00544;DB00712;DB00158;DB08884;DB00143;DB00999;DB01050;DB00619;DB00328;DB01009;DB00709;DB00814;DB01033;DB00563;DB00731;DB00198;DB01708;DB01032;DB01069;DB00481;DB14761;DB00533;DB01098;DB12332;DB00203;DB00398;DB01138;DB01268;DB04348;DB14126;DB09299;DB00300;DB00352;DB01586;DB00661;DB00495;	O15439;	782;								3.A.1.208.7;		O15439;	rs11568681 rs11568689 rs4148460 rs45454092 rs11568658 rs11568684 rs2274407 rs11568701 rs11568705 rs11568668 rs11568669 rs753414892 rs11568699 rs11568697 rs9282570 rs3765534 rs146708960 rs11568659 rs11568694 rs45477596 rs139970608 rs45504892 rs11568644		O15439;	O15439;	O15439;		9606-ENSP00000366084;	O15439;	48664 [O15439-1];48665 [O15439-2];48666 [O15439-3];6540;	ENST00000536256.3 [O15439-4];ENST00000629385.1 [O15439-3];ENST00000645237.2 [O15439-1];ENST00000646439.1 [O15439-2];						10257;		hsa:10257;						10257;			ABCC4;	HGNC:55;	ENSG00000125257;		605250;	NX_O15439;		PA397;										KOG0054;	ENSGT00940000153931;	CLU_000604_27_1_1;	CAQWFHA;	3384185at2759;	O15439;	TF105202;		7.6.2.2;7.6.2.3;	O15439;	R-HSA-114608;R-HSA-382556;R-HSA-9748787;R-HSA-9753281;	O15439;	ABCC4;	ENSG00000125257;	O15439;	cd18593;cd18601;cd03250;cd03244;			IPR003593;IPR011527;IPR036640;IPR003439;IPR017871;IPR030240;IPR047083;IPR027417;	PTHR24223;PTHR24223:SF357;	PF00664;PF00005;			PS50929;PS00211;PS50893;	SM00382;	SSF90123;SSF52540;
