Entry	Entry Name	Protein	Protein Names	Gene Names (Primary)	Length	Mass
Q96IV0	NGLY1_HUMAN	NGLY1	Peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase (PNGase) (hPNGase) (EC 3.5.1.52) (N-glycanase 1) (Peptide:N-glycanase)	NGLY1	654	74390
Q96IY4	CBPB2_HUMAN	CBPB2	Carboxypeptidase B2 (EC 3.4.17.20) (Carboxypeptidase U) (CPU) (Plasma carboxypeptidase B) (pCPB) (Thrombin-activable fibrinolysis inhibitor) (TAFI)	CPB2	423	48424
Q96JH7	VCIP1_HUMAN	VCIP1	Deubiquitinating protein VCPIP1 (EC 3.4.19.12) (Valosin-containing protein p97/p47 complex-interacting protein 1) (Valosin-containing protein p97/p47 complex-interacting protein p135) (VCP/p47 complex-interacting 135-kDa protein)	VCPIP1	1222	134321
Q96JJ7	TMX3_HUMAN	TMX3	Protein disulfide-isomerase TMX3 (EC 5.3.4.1) (Thioredoxin domain-containing protein 10) (Thioredoxin-related transmembrane protein 3)	TMX3	454	51872
Q96K21	ANCHR_HUMAN	ANCHR	Abscission/NoCut checkpoint regulator (ANCHR) (MLL partner containing FYVE domain) (Zinc finger FYVE domain-containing protein 19)	ZFYVE19	471	51546
Q96K76	UBP47_HUMAN	UBP47	Ubiquitin carboxyl-terminal hydrolase 47 (EC 3.4.19.12) (Deubiquitinating enzyme 47) (Ubiquitin thioesterase 47) (Ubiquitin-specific-processing protease 47)	USP47	1375	157311
Q96KB5	TOPK_HUMAN	TOPK	Lymphokine-activated killer T-cell-originated protein kinase (EC 2.7.12.2) (Cancer/testis antigen 84) (CT84) (MAPKK-like protein kinase) (Nori-3) (PDZ-binding kinase) (Spermatogenesis-related protein kinase) (SPK) (T-LAK cell-originated protein kinase)	PBK	322	36085
Q96KG9	SCYL1_HUMAN	SCYL1	N-terminal kinase-like protein (Coated vesicle-associated kinase of 90 kDa) (SCY1-like protein 1) (Telomerase regulation-associated protein) (Telomerase transcriptional element-interacting factor) (Teratoma-associated tyrosine kinase)	SCYL1	808	89631
Q96KN2	CNDP1_HUMAN	CNDP1	Beta-Ala-His dipeptidase (EC 3.4.13.20) (CNDP dipeptidase 1) (Carnosine dipeptidase 1) (Glutamate carboxypeptidase-like protein 2) (Serum carnosinase)	CNDP1	507	56692
Q96KP4	CNDP2_HUMAN	CNDP2	Cytosolic non-specific dipeptidase (EC 3.4.13.18) (CNDP dipeptidase 2) (Glutamate carboxypeptidase-like protein 1) (Peptidase A) (Threonyl dipeptidase)	CNDP2	475	52878
Q96L94	SNX22_HUMAN	SNX22	Sorting nexin-22	SNX22	193	22068
Q96LD8	SENP8_HUMAN	SENP8	"Sentrin-specific protease 8 (EC 3.4.22.-) (Deneddylase-1) (NEDD8-specific protease 1) (Protease, cysteine 2) (Sentrin/SUMO-specific protease SENP8)"	SENP8	212	24107
Q96M27	PRRC1_HUMAN	PRRC1	Protein PRRC1 (Proline-rich and coiled-coil-containing protein 1)	PRRC1	445	46701
Q96MV1	TLCD4_HUMAN	TLCD4	TLC domain-containing protein 4 (Transmembrane protein 56)	TLCD4	263	30041
Q96MW1	CCD43_HUMAN	CCD43	Coiled-coil domain-containing protein 43	CCDC43	224	25248
Q96N06	SPT33_HUMAN	SPT33	Spermatogenesis-associated protein 33	SPATA33	139	15461
Q96NA2	RILP_HUMAN	RILP	Rab-interacting lysosomal protein	RILP	401	44200
Q96P48	ARAP1_HUMAN	ARAP1	"Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1 (Centaurin-delta-2) (Cnt-d2)"	ARAP1	1450	162192
Q96P70	IPO9_HUMAN	IPO9	Importin-9 (Imp9) (Ran-binding protein 9) (RanBP9)	IPO9	1041	115963
Q96PD5	PGRP2_HUMAN	PGRP2	N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28) (Peptidoglycan recognition protein 2) (Peptidoglycan recognition protein long) (PGRP-L)	PGLYRP2	576	62217
Q96PL5	ERMAP_HUMAN	ERMAP	Erythroid membrane-associated protein (hERMAP) (Radin blood group antigen) (Scianna blood group antigen)	ERMAP	475	52605
Q96PU5	NED4L_HUMAN	NED4L	E3 ubiquitin-protein ligase NEDD4-like (EC 2.3.2.26) (EC 2.3.2.36) (HECT-type E3 ubiquitin transferase NED4L) (NEDD4.2) (Nedd4-2)	NEDD4L	975	111932
Q96Q42	ALS2_HUMAN	ALS2	Alsin (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 6 protein) (Amyotrophic lateral sclerosis 2 protein)	ALS2	1657	183634
Q96QK1	VPS35_HUMAN	VPS35	Vacuolar protein sorting-associated protein 35 (hVPS35) (Maternal-embryonic 3) (Vesicle protein sorting 35)	VPS35	796	91707
Q96QR8	PURB_HUMAN	PURB	Transcriptional regulator protein Pur-beta (Purine-rich element-binding protein B)	PURB	312	33241
Q96RL7	VP13A_HUMAN	VP13A	Intermembrane lipid transfer protein VPS13A (Chorea-acanthocytosis protein) (Chorein) (Vacuolar protein sorting-associated protein 13A)	VPS13A	3174	360276
Q96RS6	NUDC1_HUMAN	NUDC1	NudC domain-containing protein 1 (Chronic myelogenous leukemia tumor antigen 66) (Tumor antigen CML66)	NUDCD1	583	66756
Q96RT1	ERBIN_HUMAN	ERBIN	Erbin (Densin-180-like protein) (Erbb2-interacting protein) (Protein LAP2)	ERBIN	1412	158298
Q96S19	MTL26_HUMAN	MTL26	Methyltransferase-like 26	METTL26	204	22578
Q96S97	MYADM_HUMAN	MYADM	Myeloid-associated differentiation marker (Protein SB135)	MYADM	322	35274
Q96S99	PKHF1_HUMAN	PKHF1	Pleckstrin homology domain-containing family F member 1 (PH domain-containing family F member 1) (Lysosome-associated apoptosis-inducing protein containing PH and FYVE domains) (Apoptosis-inducing protein) (PH and FYVE domain-containing protein 1) (Phafin-1) (Zinc finger FYVE domain-containing protein 15)	PLEKHF1	279	31195
Q96SU4	OSBL9_HUMAN	OSBL9	Oxysterol-binding protein-related protein 9 (ORP-9) (OSBP-related protein 9)	OSBPL9	736	83185
Q96T51	RUFY1_HUMAN	RUFY1	RUN and FYVE domain-containing protein 1 (FYVE-finger protein EIP1) (La-binding protein 1) (Rab4-interacting protein) (Zinc finger FYVE domain-containing protein 12)	RUFY1	708	79818
Q96T66	NMNA3_HUMAN	NMNA3	Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 3 (NMN/NaMN adenylyltransferase 3) (Nicotinamide-nucleotide adenylyltransferase 3) (NMN adenylyltransferase 3) (Nicotinate-nucleotide adenylyltransferase 3) (NaMN adenylyltransferase 3) (EC 2.7.7.18) (Pyridine nucleotide adenylyltransferase 3) (PNAT-3) (EC 2.7.7.1)	NMNAT3	252	28322
Q96T76	MMS19_HUMAN	MMS19	MMS19 nucleotide excision repair protein homolog (hMMS19) (MET18 homolog) (MMS19-like protein)	MMS19	1030	113290
Q96TA1	NIBA2_HUMAN	NIBA2	Protein Niban 2 (Meg-3) (Melanoma invasion by ERK) (MINERVA) (Niban-like protein 1) (Protein FAM129B)	NIBAN2	746	84138
Q99426	TBCB_HUMAN	TBCB	Tubulin-folding cofactor B (Cytoskeleton-associated protein 1) (Cytoskeleton-associated protein CKAPI) (Tubulin-specific chaperone B)	TBCB	244	27326
Q99436	PSB7_HUMAN	PSB7	Proteasome subunit beta type-7 (EC 3.4.25.1) (Macropain chain Z) (Multicatalytic endopeptidase complex chain Z) (Proteasome subunit Z) (Proteasome subunit beta-2) (beta-2)	PSMB7	277	29965
Q99447	PCY2_HUMAN	PCY2	Ethanolamine-phosphate cytidylyltransferase (EC 2.7.7.14) (CTP:phosphoethanolamine cytidylyltransferase) (Phosphorylethanolamine transferase)	PCYT2	389	43835
Q99460	PSMD1_HUMAN	PSMD1	26S proteasome non-ATPase regulatory subunit 1 (26S proteasome regulatory subunit RPN2) (26S proteasome regulatory subunit S1) (26S proteasome subunit p112)	PSMD1	953	105836
Q99471	PFD5_HUMAN	PFD5	Prefoldin subunit 5 (Myc modulator 1) (c-Myc-binding protein Mm-1)	PFDN5	154	17328
Q99497	PARK7_HUMAN	PARK7	"Parkinson disease protein 7 (Maillard deglycase) (Oncogene DJ1) (Parkinsonism-associated deglycase) (Protein DJ-1) (DJ-1) (Protein/nucleic acid deglycase DJ-1) (EC 3.1.2.-, EC 3.5.1.-, EC 3.5.1.124)"	PARK7	189	19891
Q99536	VAT1_HUMAN	VAT1	Synaptic vesicle membrane protein VAT-1 homolog (EC 1.-.-.-)	VAT1	393	41920
Q99570	PI3R4_HUMAN	PI3R4	Phosphoinositide 3-kinase regulatory subunit 4 (PI3-kinase regulatory subunit 4) (EC 2.7.11.1) (PI3-kinase p150 subunit) (Phosphoinositide 3-kinase adaptor protein)	PIK3R4	1358	153103
Q99598	TSNAX_HUMAN	TSNAX	Translin-associated protein X (Translin-associated factor X)	TSNAX	290	33112
Q99627	CSN8_HUMAN	CSN8	COP9 signalosome complex subunit 8 (SGN8) (Signalosome subunit 8) (COP9 homolog) (hCOP9) (JAB1-containing signalosome subunit 8)	COPS8	209	23226
Q99729	ROAA_HUMAN	ROAA	Heterogeneous nuclear ribonucleoprotein A/B (hnRNP A/B) (APOBEC1-binding protein 1) (ABBP-1)	HNRNPAB	332	36225
Q99733	NP1L4_HUMAN	NP1L4	Nucleosome assembly protein 1-like 4 (Nucleosome assembly protein 2) (NAP-2)	NAP1L4	375	42823
Q99747	SNAG_HUMAN	SNAG	Gamma-soluble NSF attachment protein (SNAP-gamma) (N-ethylmaleimide-sensitive factor attachment protein gamma)	NAPG	312	34746
Q99808	S29A1_HUMAN	S29A1	"Equilibrative nucleoside transporter 1 (hENT1) (Equilibrative nitrobenzylmercaptopurine riboside-sensitive nucleoside transporter) (Equilibrative NBMPR-sensitive nucleoside transporter) (es nucleoside transporter) (Nucleoside transporter, es-type) (Solute carrier family 29 member 1)"	SLC29A1	456	50219
Q99816	TS101_HUMAN	TS101	Tumor susceptibility gene 101 protein (ESCRT-I complex subunit TSG101)	TSG101	390	43944
Q99828	CIB1_HUMAN	CIB1	Calcium and integrin-binding protein 1 (CIB) (Calcium- and integrin-binding protein) (CIBP) (Calmyrin) (DNA-PKcs-interacting protein) (Kinase-interacting protein) (KIP) (SNK-interacting protein 2-28) (SIP2-28)	CIB1	191	21703
Q99829	CPNE1_HUMAN	CPNE1	Copine-1 (Chromobindin 17) (Copine I)	CPNE1	537	59059
Q99832	TCPH_HUMAN	TCPH	"T-complex protein 1 subunit eta (TCP-1-eta) (CCT-eta) (Chaperonin containing T-complex polypeptide 1 subunit 7) (HIV-1 Nef-interacting protein) [Cleaved into: T-complex protein 1 subunit eta, N-terminally processed]"	CCT7	543	59367
Q99873	ANM1_HUMAN	ANM1	Protein arginine N-methyltransferase 1 (EC 2.1.1.319) (Histone-arginine N-methyltransferase PRMT1) (Interferon receptor 1-bound protein 4)	PRMT1	371	42462
Q99933	BAG1_HUMAN	BAG1	BAG family molecular chaperone regulator 1 (BAG-1) (Bcl-2-associated athanogene 1)	BAG1	345	38779
Q99961	SH3G1_HUMAN	SH3G1	Endophilin-A2 (EEN fusion partner of MLL) (Endophilin-2) (Extra eleven-nineteen leukemia fusion gene protein) (EEN) (SH3 domain protein 2B) (SH3 domain-containing GRB2-like protein 1)	SH3GL1	368	41490
Q9BPX3	CND3_HUMAN	CND3	Condensin complex subunit 3 (Chromosome-associated protein G) (Condensin subunit CAP-G) (hCAP-G) (Melanoma antigen NY-MEL-3) (Non-SMC condensin I complex subunit G) (XCAP-G homolog)	NCAPG	1015	114334
Q9BPX5	ARP5L_HUMAN	ARP5L	Actin-related protein 2/3 complex subunit 5-like protein (Arp2/3 complex 16 kDa subunit 2) (ARC16-2)	ARPC5L	153	16941
Q9BQA1	MEP50_HUMAN	MEP50	Methylosome protein WDR77 (Androgen receptor cofactor p44) (Methylosome protein 50) (MEP-50) (WD repeat-containing protein 77) (p44/Mep50)	WDR77	342	36724
Q9BRA2	TXD17_HUMAN	TXD17	Thioredoxin domain-containing protein 17 (14 kDa thioredoxin-related protein) (TRP14) (Protein 42-9-9) (Thioredoxin-like protein 5)	TXNDC17	123	13941
Q9BRF8	CPPED_HUMAN	CPPED	Serine/threonine-protein phosphatase CPPED1 (EC 3.1.3.16) (Calcineurin-like phosphoesterase domain-containing protein 1) (Complete S-transactivated protein 1)	CPPED1	314	35548
Q9BRG1	VPS25_HUMAN	VPS25	Vacuolar protein-sorting-associated protein 25 (hVps25) (Dermal papilla-derived protein 9) (ELL-associated protein of 20 kDa) (ESCRT-II complex subunit VPS25)	VPS25	176	20748
Q9BRP4	PAAF1_HUMAN	PAAF1	Proteasomal ATPase-associated factor 1 (Protein G-16) (WD repeat-containing protein 71)	PAAF1	392	42190
Q9BRP8	PYM1_HUMAN	PYM1	Partner of Y14 and mago (PYM homolog 1 exon junction complex-associated factor) (Protein wibg homolog)	PYM1	204	22656
Q9BRT3	MIEN1_HUMAN	MIEN1	Migration and invasion enhancer 1 (HBV X-transactivated gene 4 protein) (HBV XAg-transactivated protein 4) (Protein C35)	MIEN1	115	12403
Q9BS26	ERP44_HUMAN	ERP44	Endoplasmic reticulum resident protein 44 (ER protein 44) (ERp44) (Thioredoxin domain-containing protein 4)	ERP44	406	46971
Q9BS40	LXN_HUMAN	LXN	Latexin (Endogenous carboxypeptidase inhibitor) (ECI) (Protein MUM) (Tissue carboxypeptidase inhibitor) (TCI)	LXN	222	25750
Q9BSJ8	ESYT1_HUMAN	ESYT1	Extended synaptotagmin-1 (E-Syt1) (Membrane-bound C2 domain-containing protein)	ESYT1	1104	122856
Q9BSL1	UBAC1_HUMAN	UBAC1	Ubiquitin-associated domain-containing protein 1 (UBA domain-containing protein 1) (Glialblastoma cell differentiation-related protein 1) (Kip1 ubiquitination-promoting complex protein 2)	UBAC1	405	45338
Q9BT73	PSMG3_HUMAN	PSMG3	Proteasome assembly chaperone 3 (PAC-3) (hPAC3) (Proteasome chaperone homolog 3) (Pba3)	PSMG3	122	13104
Q9BT78	CSN4_HUMAN	CSN4	COP9 signalosome complex subunit 4 (SGN4) (Signalosome subunit 4) (JAB1-containing signalosome subunit 4)	COPS4	406	46269
Q9BTE1	DCTN5_HUMAN	DCTN5	Dynactin subunit 5 (Dynactin subunit p25)	DCTN5	182	20127
Q9BTE6	AASD1_HUMAN	AASD1	Alanyl-tRNA editing protein Aarsd1 (Alanyl-tRNA synthetase domain-containing protein 1)	AARSD1	412	45480
Q9BTM9	URM1_HUMAN	URM1	Ubiquitin-related modifier 1	URM1	101	11380
Q9BTT0	AN32E_HUMAN	AN32E	Acidic leucine-rich nuclear phosphoprotein 32 family member E (LANP-like protein) (LANP-L)	ANP32E	268	30692
Q9BTU6	P4K2A_HUMAN	P4K2A	Phosphatidylinositol 4-kinase type 2-alpha (EC 2.7.1.67) (Phosphatidylinositol 4-kinase type II-alpha)	PI4K2A	479	54022
Q9BTW9	TBCD_HUMAN	TBCD	Tubulin-specific chaperone D (Beta-tubulin cofactor D) (tfcD) (SSD-1) (Tubulin-folding cofactor D)	TBCD	1192	132600
Q9BTX7	TTPAL_HUMAN	TTPAL	Alpha-tocopherol transfer protein-like	TTPAL	342	38515
Q9BU02	THTPA_HUMAN	THTPA	Thiamine-triphosphatase (ThTPase) (EC 3.6.1.28)	THTPA	230	25566
Q9BUH6	PAXX_HUMAN	PAXX	Protein PAXX (Paralog of XRCC4 and XLF) (XRCC4-like small protein)	PAXX	204	21640
Q9BUK6	MSTO1_HUMAN	MSTO1	Protein misato homolog 1	MSTO1	570	61835
Q9BUL8	PDC10_HUMAN	PDC10	Programmed cell death protein 10 (Cerebral cavernous malformations 3 protein) (TF-1 cell apoptosis-related protein 15)	PDCD10	212	24702
Q9BV20	MTNA_HUMAN	MTNA	Methylthioribose-1-phosphate isomerase (M1Pi) (MTR-1-P isomerase) (EC 5.3.1.23) (Mediator of RhoA-dependent invasion) (S-methyl-5-thioribose-1-phosphate isomerase) (Translation initiation factor eIF-2B subunit alpha/beta/delta-like protein)	MRI1	369	39150
Q9BVK6	TMED9_HUMAN	TMED9	Transmembrane emp24 domain-containing protein 9 (GMP25) (Glycoprotein 25L2) (p24 family protein alpha-2) (p24alpha2) (p25)	TMED9	235	27277
Q9BVL2	NUP58_HUMAN	NUP58	Nucleoporin p58/p45 (58 kDa nucleoporin) (Nucleoporin-like protein 1)	NUP58	599	60897
Q9BVL4	SELO_HUMAN	SELO	"Protein adenylyltransferase SelO, mitochondrial (EC 2.7.7.-) (EC 2.7.7.108) (Selenoprotein O) (SelO)"	SELENOO	669	73489
Q9BVM2	DPCD_HUMAN	DPCD	Protein DPCD	DPCD	203	23240
Q9BVM4	GGACT_HUMAN	GGACT	Gamma-glutamylaminecyclotransferase (GGACT) (EC 4.3.2.8) (AIG2-like domain-containing protein 1) (Gamma-glutamylamine cyclotransferase)	GGACT	153	17329
Q9BW62	KATL1_HUMAN	KATL1	Katanin p60 ATPase-containing subunit A-like 1 (Katanin p60 subunit A-like 1) (EC 5.6.1.1) (p60 katanin-like 1)	KATNAL1	490	55392
Q9BWD1	THIC_HUMAN	THIC	"Acetyl-CoA acetyltransferase, cytosolic (EC 2.3.1.9) (Acetyl-CoA transferase-like protein) (Cytosolic acetoacetyl-CoA thiolase)"	ACAT2	397	41351
Q9BWS9	CHID1_HUMAN	CHID1	Chitinase domain-containing protein 1 (Stabilin-1-interacting chitinase-like protein) (SI-CLP)	CHID1	393	44941
Q9BXD5	NPL_HUMAN	NPL	N-acetylneuraminate lyase (NALase) (EC 4.1.3.3) (N-acetylneuraminate pyruvate-lyase) (N-acetylneuraminic acid aldolase) (Sialate lyase) (Sialate-pyruvate lyase) (Sialic acid aldolase) (Sialic acid lyase)	NPL	320	35163
Q9BXJ9	NAA15_HUMAN	NAA15	"N-alpha-acetyltransferase 15, NatA auxiliary subunit (Gastric cancer antigen Ga19) (N-terminal acetyltransferase) (NMDA receptor-regulated protein 1) (Protein tubedown-1) (Tbdn100)"	NAA15	866	101272
Q9BXK5	B2L13_HUMAN	B2L13	Bcl-2-like protein 13 (Bcl2-L-13) (Bcl-rambo) (Protein Mil1)	BCL2L13	485	52723
Q9BXS5	AP1M1_HUMAN	AP1M1	AP-1 complex subunit mu-1 (AP-mu chain family member mu1A) (Adaptor protein complex AP-1 subunit mu-1) (Adaptor-related protein complex 1 subunit mu-1) (Clathrin assembly protein complex 1 mu-1 medium chain 1) (Clathrin coat assembly protein AP47) (Clathrin coat-associated protein AP47) (Golgi adaptor HA1/AP1 adaptin mu-1 subunit) (Mu-adaptin 1) (Mu1A-adaptin)	AP1M1	423	48587
Q9BY32	ITPA_HUMAN	ITPA	Inosine triphosphate pyrophosphatase (ITPase) (Inosine triphosphatase) (EC 3.6.1.9) (Non-canonical purine NTP pyrophosphatase) (Non-standard purine NTP pyrophosphatase) (Nucleoside-triphosphate diphosphatase) (Nucleoside-triphosphate pyrophosphatase) (NTPase) (Putative oncogene protein hlc14-06-p)	ITPA	194	21446
Q9BY43	CHM4A_HUMAN	CHM4A	Charged multivesicular body protein 4a (Chromatin-modifying protein 4a) (CHMP4a) (SNF7 homolog associated with Alix-2) (SNF7-1) (hSnf-1) (Vacuolar protein sorting-associated protein 32-1) (Vps32-1) (hVps32-1)	CHMP4A	222	25098
Q9BYN0	SRXN1_HUMAN	SRXN1	Sulfiredoxin-1 (EC 1.8.98.2)	SRXN1	137	14259
Q9BZ23	PANK2_HUMAN	PANK2	"Pantothenate kinase 2, mitochondrial (hPanK2) (EC 2.7.1.33) (Pantothenic acid kinase 2) [Cleaved into: Pantothenate kinase 2, mitochondrial intermediate form (iPanK2); Pantothenate kinase 2, mitochondrial mature form (mPanK2)]"	PANK2	570	62681
Q9BZE9	ASPC1_HUMAN	ASPC1	Tether containing UBX domain for GLUT4 (Alveolar soft part sarcoma chromosomal region candidate gene 1 protein) (Alveolar soft part sarcoma locus) (Renal papillary cell carcinoma protein 17) (UBX domain-containing protein 9)	ASPSCR1	553	60183
Q9BZI7	REN3B_HUMAN	REN3B	Regulator of nonsense transcripts 3B (Nonsense mRNA reducing factor 3B) (Up-frameshift suppressor 3 homolog B) (hUpf3B) (Up-frameshift suppressor 3 homolog on chromosome X) (hUpf3p-X)	UPF3B	483	57762
Q9C0C9	UBE2O_HUMAN	UBE2O	(E3-independent) E2 ubiquitin-conjugating enzyme (EC 2.3.2.24) (E2/E3 hybrid ubiquitin-protein ligase UBE2O) (Ubiquitin carrier protein O) (Ubiquitin-conjugating enzyme E2 O) (Ubiquitin-conjugating enzyme E2 of 230 kDa) (Ubiquitin-conjugating enzyme E2-230K) (Ubiquitin-protein ligase O)	UBE2O	1292	141293
Q9C0E2	XPO4_HUMAN	XPO4	Exportin-4 (Exp4)	XPO4	1151	130139
Q9C0K7	STRAB_HUMAN	STRAB	STE20-related kinase adapter protein beta (STRAD beta) (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 2 protein) (CALS-21) (ILP-interacting protein) (Pseudokinase ALS2CR2)	STRADB	418	47026
Q9GZN8	ADSSP_HUMAN	ADSSP	Adipose-secreted signaling protein	ADISSP	174	19291
Q9GZP4	PITH1_HUMAN	PITH1	PITH domain-containing protein 1	PITHD1	211	24178
Q9GZS3	SKI8_HUMAN	SKI8	"Superkiller complex protein 8 (Ski8) (Meiotic recombination REC14 protein homolog) (WD repeat-containing protein 61) [Cleaved into: Superkiller complex protein 8, N-terminally processed (WD repeat-containing protein 61, N-terminally processed)]"	SKIC8	305	33581
Q9GZT8	NIF3L_HUMAN	NIF3L	NIF3-like protein 1 (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 1 protein)	NIF3L1	377	41968
Q9GZZ1	NAA50_HUMAN	NAA50	N-alpha-acetyltransferase 50 (hNaa50p) (EC 2.3.1.258) (N-acetyltransferase 13) (N-acetyltransferase 5) (hNAT5) (N-acetyltransferase san homolog) (hSAN) (N-epsilon-acetyltransferase 50) (EC 2.3.1.-) (NatE catalytic subunit)	NAA50	169	19398
Q9GZZ9	UBA5_HUMAN	UBA5	Ubiquitin-like modifier-activating enzyme 5 (Ubiquitin-activating enzyme 5) (ThiFP1) (UFM1-activating enzyme) (Ubiquitin-activating enzyme E1 domain-containing protein 1)	UBA5	404	44863
Q9H008	LHPP_HUMAN	LHPP	Phospholysine phosphohistidine inorganic pyrophosphate phosphatase (hLHPP) (EC 3.1.3.-) (EC 3.6.1.1)	LHPP	270	29165
Q9H074	PAIP1_HUMAN	PAIP1	Polyadenylate-binding protein-interacting protein 1 (PABP-interacting protein 1) (PAIP-1) (Poly(A)-binding protein-interacting protein 1)	PAIP1	479	53525
Q9H0N5	PHS2_HUMAN	PHS2	Pterin-4-alpha-carbinolamine dehydratase 2 (PHS 2) (EC 4.2.1.96) (4-alpha-hydroxy-tetrahydropterin dehydratase 2) (DcoH-like protein DCoHm) (Dimerization cofactor of hepatocyte nuclear factor 1 from muscle) (HNF-1-alpha dimerization cofactor)	PCBD2	130	14365
Q9H0P0	5NT3A_HUMAN	5NT3A	Cytosolic 5'-nucleotidase 3A (EC 3.1.3.5) (7-methylguanosine phosphate-specific 5'-nucleotidase) (7-methylguanosine nucleotidase) (EC 3.1.3.91) (Cytosolic 5'-nucleotidase 3) (Cytosolic 5'-nucleotidase III) (cN-III) (Pyrimidine 5'-nucleotidase 1) (P5'N-1) (P5N-1) (PN-I) (Uridine 5'-monophosphate hydrolase 1) (p36)	NT5C3A	336	37948
Q9H0R3	TM222_HUMAN	TM222	Transmembrane protein 222	TMEM222	208	23230
Q9H0R4	HDHD2_HUMAN	HDHD2	Haloacid dehalogenase-like hydrolase domain-containing protein 2	HDHD2	259	28536
Q9H0R8	GBRL1_HUMAN	GBRL1	Gamma-aminobutyric acid receptor-associated protein-like 1 (Early estrogen-regulated protein) (GABA(A) receptor-associated protein-like 1) (Glandular epithelial cell protein 1) (GEC-1)	GABARAPL1	117	14044
Q9H0U4	RAB1B_HUMAN	RAB1B	Ras-related protein Rab-1B (EC 3.6.5.2)	RAB1B	201	22171
Q9H0W9	CK054_HUMAN	CK054	Ester hydrolase C11orf54 (EC 3.1.-.-)	C11orf54	315	35117
Q9H0X4	F234A_HUMAN	F234A	Protein FAM234A (Protein ITFG3)	FAM234A	552	59660
Q9H0Z9	RBM38_HUMAN	RBM38	RNA-binding protein 38 (CLL-associated antigen KW-5) (HSRNASEB) (RNA-binding motif protein 38) (RNA-binding region-containing protein 1) (ssDNA-binding protein SEB4)	RBM38	239	25498
Q9H115	SNAB_HUMAN	SNAB	Beta-soluble NSF attachment protein (SNAP-beta) (N-ethylmaleimide-sensitive factor attachment protein beta)	NAPB	298	33557
Q9H1A4	APC1_HUMAN	APC1	Anaphase-promoting complex subunit 1 (APC1) (Cyclosome subunit 1) (Mitotic checkpoint regulator) (Testis-specific gene 24 protein)	ANAPC1	1944	216500
Q9H299	SH3L3_HUMAN	SH3L3	SH3 domain-binding glutamic acid-rich-like protein 3 (SH3 domain-binding protein 1) (SH3BP-1) (TNF inhibitory protein B1) (TIP-B1)	SH3BGRL3	93	10438
Q9H2C0	GAN_HUMAN	GAN	Gigaxonin (Kelch-like protein 16)	GAN	597	67638
Q9H2G2	SLK_HUMAN	SLK	STE20-like serine/threonine-protein kinase (STE20-like kinase) (hSLK) (EC 2.7.11.1) (CTCL tumor antigen se20-9) (STE20-related serine/threonine-protein kinase) (STE20-related kinase) (Serine/threonine-protein kinase 2)	SLK	1235	142695
Q9H2H8	PPIL3_HUMAN	PPIL3	Peptidyl-prolyl cis-trans isomerase-like 3 (PPIase) (EC 5.2.1.8) (Cyclophilin J) (CyPJ) (Cyclophilin-like protein PPIL3) (Rotamase PPIL3)	PPIL3	161	18155
Q9H2K8	TAOK3_HUMAN	TAOK3	Serine/threonine-protein kinase TAO3 (EC 2.7.11.1) (Cutaneous T-cell lymphoma-associated antigen HD-CL-09) (CTCL-associated antigen HD-CL-09) (Dendritic cell-derived protein kinase) (JNK/SAPK-inhibitory kinase) (Jun kinase-inhibitory kinase) (Kinase from chicken homolog A) (hKFC-A) (Thousand and one amino acid protein 3)	TAOK3	898	105406
Q9H2M9	RBGPR_HUMAN	RBGPR	Rab3 GTPase-activating protein non-catalytic subunit (RGAP-iso) (Rab3 GTPase-activating protein 150 kDa subunit) (Rab3-GAP p150) (Rab3-GAP150) (Rab3-GAP regulatory subunit)	RAB3GAP2	1393	155985
Q9H2X9	S12A5_HUMAN	S12A5	Solute carrier family 12 member 5 (Electroneutral potassium-chloride cotransporter 2) (K-Cl cotransporter 2) (hKCC2) (Neuronal K-Cl cotransporter)	SLC12A5	1139	126184
Q9H3K6	BOLA2_HUMAN	BOLA2	BolA-like protein 2	BOLA2; BOLA2B	86	10117
Q9H3N1	TMX1_HUMAN	TMX1	Thioredoxin-related transmembrane protein 1 (Protein disulfide-isomerase TMX1) (EC 5.3.4.1) (Thioredoxin domain-containing protein 1) (Transmembrane Trx-related protein)	TMX1	280	31791
Q9H3S4	TPK1_HUMAN	TPK1	Thiamine pyrophosphokinase 1 (hTPK1) (EC 2.7.6.-) (Placental protein 20) (PP20) (Thiamin pyrophosphokinase 1)	TPK1	243	27265
Q9H3S7	PTN23_HUMAN	PTN23	Tyrosine-protein phosphatase non-receptor type 23 (EC 3.1.3.48) (His domain-containing protein tyrosine phosphatase) (HD-PTP) (Protein tyrosine phosphatase TD14) (PTP-TD14)	PTPN23	1636	178974
Q9H444	CHM4B_HUMAN	CHM4B	Charged multivesicular body protein 4b (Chromatin-modifying protein 4b) (CHMP4b) (SNF7 homolog associated with Alix 1) (SNF7-2) (hSnf7-2) (Vacuolar protein sorting-associated protein 32-2) (Vps32-2) (hVps32-2)	CHMP4B	224	24950
